companyName,industry,revenue,debtToEquity,yearsInBusiness,paymentHistory,outstandingDebt,creditUtilization,latePayments,collateralValue,annualGrowth,creditScore,riskLevel,loanEligibility
Company 65,manufacturing,87665.38,0.828,14,66.86,86063.34,41.73,2,121436.51,9.14,582,moderate,denied
Company 66,manufacturing,60581.46,0.338,1,48.96,39731.62,15.56,0,143578.79,11.37,642,low,review
Company 67,manufacturing,31825.11,1.466,15,68.77,34636.49,64.47,2,24213.09,29.79,580,moderate,review
Company 68,retail,66432.65,0.691,46,64.49,39270.84,58.29,1,151937.68,4.58,644,moderate,review
Company 69,technology,56622.46,0.761,8,85.72,58020.19,63.3,1,136362.61,22.53,652,moderate,review
Company 70,retail,20603.59,0.67,34,96.92,7781.1,59.97,1,39598.11,-12.4,677,moderate,review
Company 71,technology,18445.03,0.644,1,39.15,21659.09,6.5,5,50082.29,-4.57,512,low,review
Company 72,retail,94100.88,0.332,28,91.87,53264.77,20.7,0,271613.61,-27.04,680,moderate,review
Company 73,services,10000.0,4.2,46,79.34,6578.55,19.9,1,5866.94,7.27,590,high,denied
Company 74,technology,70567.74,1.332,17,78.48,73965.82,13.82,2,155087.26,14.71,656,moderate,review
Company 75,technology,40844.75,4.07,10,56.2,16697.33,71.19,2,44640.71,-33.33,445,high,denied
Company 76,retail,170518.19,4.512,28,54.07,328848.05,15.81,2,259265.8,7.82,489,high,denied
Company 77,retail,40345.11,0.466,14,30.39,38295.34,65.14,0,83025.62,14.06,604,moderate,review
Company 78,healthcare,101476.99,0.664,44,98.75,78069.35,21.06,0,231436.61,13.21,732,low,approved
Company 79,manufacturing,43585.03,1.529,42,72.46,6776.32,15.65,0,113341.87,-12.94,667,moderate,review
Company 80,healthcare,65578.19,0.409,32,58.16,111626.11,19.63,0,148434.1,16.6,680,moderate,review
Company 81,healthcare,107954.94,2.56,32,68.06,139163.04,50.76,1,263787.63,5.14,585,low,review
Company 82,retail,41355.28,0.641,30,32.84,36854.58,63.09,7,82614.54,13.87,485,high,denied
Company 83,services,132885.6,0.446,37,42.16,75281.33,78.07,2,105331.47,3.11,548,high,denied
Company 84,technology,27039.17,0.538,23,73.64,40984.92,16.57,0,14968.23,10.72,691,moderate,review
Company 85,technology,75786.41,0.078,48,66.0,143721.48,60.46,1,138269.09,21.64,675,moderate,review
Company 86,technology,125255.61,0.363,17,85.1,103152.81,74.65,1,286691.62,1.94,595,high,approved
Company 87,healthcare,101521.92,4.053,1,76.11,36168.66,33.12,2,78391.57,9.26,498,high,denied
Company 88,manufacturing,277383.39,0.536,35,72.1,85287.08,12.17,1,436390.61,23.75,675,moderate,review
Company 89,technology,32508.23,0.474,33,87.07,3643.77,19.04,2,37073.8,3.0,666,moderate,review
Company 90,manufacturing,19864.32,0.901,49,34.78,30064.96,13.24,0,38094.46,-11.88,638,high,denied
Company 91,technology,27025.39,0.857,20,78.36,53095.46,84.85,1,39896.41,15.14,597,moderate,review
Company 92,healthcare,101554.82,0.124,21,80.09,201723.8,38.9,3,101927.4,26.52,673,moderate,review
Company 93,retail,89173.42,1.073,28,49.26,141783.5,52.1,3,45566.0,24.33,579,moderate,review
Company 94,retail,64978.08,0.12,20,43.7,26520.75,74.18,1,84719.25,15.72,581,moderate,review
Company 95,retail,24382.83,0.229,39,44.97,47732.99,38.43,0,43655.14,-30.16,603,moderate,review
Company 96,manufacturing,110579.92,0.059,21,43.87,79932.21,63.42,2,312169.64,-4.54,587,moderate,review
Company 97,retail,22476.74,1.535,39,66.66,16495.17,11.9,6,24020.67,-3.77,538,high,denied
Company 98,technology,151321.15,1.26,21,39.49,212748.49,48.28,0,269448.14,5.67,610,moderate,review
Company 99,technology,500000.0,0.435,12,76.15,96596.73,13.69,1,958120.67,30.32,700,low,approved
Company 100,services,80270.78,1.084,49,37.36,133968.92,27.35,2,170420.41,-11.21,586,moderate,denied
Company 101,services,95462.28,2.228,26,31.88,190434.35,31.4,1,126145.38,38.63,611,moderate,review
Company 102,healthcare,40364.75,0.188,35,52.35,63478.92,69.58,2,30221.27,-0.73,583,moderate,review
Company 103,retail,14070.41,0.476,29,43.43,22304.21,65.67,1,39444.86,-6.5,577,moderate,review
Company 104,services,36968.61,0.11,18,99.21,31112.64,72.24,1,106539.42,17.68,660,moderate,review
Company 105,healthcare,24976.33,0.05,48,51.21,5625.93,10.56,2,39851.68,18.86,701,moderate,review
Company 106,healthcare,18814.75,0.172,19,45.54,30217.77,94.45,2,36715.8,14.75,540,high,denied
Company 107,retail,237491.7,1.002,49,43.77,293207.34,9.9,2,135979.67,-6.54,617,moderate,review
Company 108,retail,74480.31,0.793,22,56.17,136130.9,79.32,1,46031.74,12.53,597,high,denied
Company 109,technology,81125.29,0.526,2,72.41,25986.83,71.62,4,56111.81,-10.5,539,high,denied
Company 110,services,46759.94,0.887,2,84.74,31784.31,58.26,3,109739.3,-6.96,541,high,denied
Company 111,manufacturing,52140.81,1.884,48,55.52,40943.39,44.5,4,55690.88,3.58,581,high,denied
Company 112,technology,129526.47,0.837,26,73.82,181107.98,73.14,3,124490.23,-7.3,546,high,denied
Company 113,retail,58345.08,1.389,19,63.74,93160.51,71.59,1,30388.35,20.79,549,high,denied
Company 114,manufacturing,91542.18,0.638,40,89.25,176304.64,17.35,1,51011.32,-3.67,679,moderate,review
Company 115,technology,51184.73,0.05,31,69.83,33847.11,76.34,2,77466.01,1.69,627,moderate,review
Company 116,services,45536.87,0.533,33,50.29,47263.14,12.07,2,84434.24,-8.2,611,moderate,review
Company 117,healthcare,19427.96,1.958,34,79.25,3011.83,50.05,1,37838.83,20.56,629,moderate,review
Company 118,healthcare,12305.49,0.916,10,87.4,7145.51,63.06,2,20239.8,-4.99,587,moderate,review
Company 119,retail,48569.47,4.555,5,62.58,39370.74,78.95,1,80086.36,22.13,486,high,denied
Company 120,manufacturing,62642.38,0.995,36,99.1,76939.36,46.68,1,149267.74,21.03,713,low,approved
Company 121,manufacturing,21398.93,1.638,2,91.54,21283.51,26.32,3,26190.69,-1.69,549,high,denied
Company 122,manufacturing,58245.38,1.806,36,43.79,46159.62,49.16,2,63737.6,5.45,559,moderate,review
Company 123,technology,62505.01,0.77,7,85.07,80365.7,27.52,1,164751.37,-2.11,631,moderate,review
Company 124,retail,10670.02,0.646,13,72.07,17865.57,52.59,2,23721.17,13.19,577,moderate,review
Company 125,technology,28793.37,1.0,35,67.44,16101.08,46.63,2,48723.16,2.08,586,moderate,review
Company 126,manufacturing,82934.89,1.759,31,65.98,62322.6,75.25,0,98569.12,-1.26,582,moderate,review
Company 127,retail,81605.1,1.391,39,89.74,117458.7,26.61,0,68666.98,5.69,694,moderate,review
Company 128,technology,23790.94,1.315,30,72.76,37544.17,23.0,2,14121.18,-18.73,600,moderate,review
Company 129,technology,67965.7,0.175,3,67.64,113384.05,47.68,4,178811.87,3.86,546,high,denied
Company 130,manufacturing,135662.54,0.52,42,33.42,67523.22,9.55,1,269081.74,14.74,633,moderate,review
Company 131,technology,111486.45,1.214,11,61.38,125378.47,25.64,2,68516.65,7.07,578,moderate,review
Company 132,services,55479.64,0.653,7,93.56,100419.32,36.83,1,49735.75,19.27,669,moderate,review
Company 133,manufacturing,41176.33,2.529,44,79.82,34781.89,48.89,3,49366.75,-0.66,612,moderate,review
Company 134,retail,36189.5,0.059,10,33.57,33177.74,29.25,2,41895.83,-1.89,513,high,denied
Company 135,manufacturing,87051.56,0.372,27,91.88,171592.86,55.46,1,162871.5,-11.76,658,moderate,review
Company 136,technology,69988.29,0.052,24,87.87,22032.31,84.06,0,104885.08,-1.09,645,low,review
Company 137,services,99064.18,0.351,38,68.27,142716.2,53.94,3,268022.25,34.49,664,moderate,review
Company 138,manufacturing,66536.04,0.05,3,31.57,114132.59,30.82,1,152934.87,9.13,595,moderate,review
Company 139,healthcare,115267.54,4.101,6,69.37,44551.79,10.58,1,320078.53,-3.78,517,high,denied
Company 140,technology,64580.9,1.001,21,33.82,94124.16,17.3,3,171594.47,-10.09,555,moderate,review
Company 141,manufacturing,112167.77,0.874,24,52.43,111326.81,55.51,3,314453.69,-18.98,505,high,denied
Company 142,manufacturing,120169.46,0.902,39,74.02,206750.68,66.53,2,354503.36,-7.46,607,moderate,review
Company 143,services,31457.06,0.392,30,93.9,57382.69,9.47,3,40241.16,16.39,688,moderate,review
Company 144,manufacturing,14093.72,0.198,8,55.05,24772.84,21.7,1,14434.81,-1.41,606,moderate,review
Company 145,manufacturing,205827.62,1.088,48,90.2,45762.02,33.72,1,187896.1,-9.37,657,moderate,review
Company 146,retail,73521.05,0.147,23,94.29,113077.21,33.78,1,152204.83,-7.72,679,moderate,review
Company 147,retail,15190.28,0.053,48,31.47,28115.73,91.26,3,33455.34,14.74,599,low,review
Company 148,manufacturing,33824.63,0.436,49,46.76,43314.53,23.34,2,24339.99,3.78,619,moderate,review
Company 149,retail,111023.75,0.93,3,79.69,137854.25,10.63,3,283408.0,-4.41,595,moderate,review
Company 150,technology,47870.68,0.098,25,82.98,8880.5,36.77,1,117650.16,0.37,682,moderate,review
Company 151,services,39749.43,1.842,21,57.47,68625.92,17.1,2,82328.42,38.09,617,moderate,review
Company 152,services,183635.02,0.829,25,75.97,34554.01,16.39,0,291801.78,23.29,722,low,approved
Company 153,technology,25904.46,2.68,16,72.85,18020.91,41.67,3,22903.25,27.03,561,moderate,review
Company 154,manufacturing,31617.86,0.05,28,81.78,58782.02,32.58,1,55773.29,-21.28,644,moderate,review
Company 155,technology,70905.92,0.05,25,80.31,135041.44,13.26,1,63668.07,2.73,664,moderate,review
Company 156,healthcare,81827.11,0.304,10,36.01,162394.99,59.39,2,164672.73,-4.67,530,high,denied
Company 157,retail,89060.79,0.05,15,41.08,89520.73,50.15,4,113544.65,13.16,548,high,denied
Company 158,healthcare,124118.3,1.613,8,39.29,54254.11,11.94,0,138797.23,20.9,608,moderate,review
Company 159,healthcare,70183.11,1.317,42,95.27,72084.68,82.65,4,112477.44,9.9,596,moderate,denied
Company 160,healthcare,88566.34,0.533,34,93.95,26073.45,30.62,1,172862.19,-8.09,665,moderate,review
Company 161,technology,48660.97,0.2,19,85.82,85537.16,91.52,2,69033.38,-4.92,602,moderate,review
Company 162,services,62953.94,0.806,20,38.17,73342.65,88.84,4,183133.55,14.31,531,high,denied
Company 163,technology,65253.0,0.817,4,70.2,56676.23,44.07,3,33588.6,15.8,592,moderate,approved
Company 164,technology,71116.77,1.601,15,43.11,17858.01,25.57,2,197857.71,7.11,592,moderate,review
Company 165,manufacturing,111082.88,0.21,46,55.79,96637.36,80.14,4,55731.4,6.95,592,moderate,review
Company 166,retail,93350.5,1.374,2,48.7,162967.95,37.52,1,97250.67,5.75,563,moderate,review
Company 167,services,62030.01,1.169,8,88.03,89104.33,19.72,2,185524.2,9.04,643,moderate,review
Company 168,services,31341.53,0.57,42,40.11,8044.29,54.64,2,72719.81,15.74,633,moderate,review
Company 169,retail,63204.89,0.053,26,75.23,25523.63,49.05,3,133441.07,14.45,658,moderate,review
Company 170,services,58547.04,0.124,2,98.87,49494.85,81.5,0,135549.99,5.35,617,moderate,review
Company 171,retail,69880.73,0.112,24,78.09,20447.99,70.64,1,106270.46,4.26,649,moderate,review
Company 172,manufacturing,349836.17,0.788,37,35.55,655830.27,83.85,1,860780.41,3.69,566,moderate,review
Company 173,retail,39378.76,1.926,17,93.55,52742.13,71.12,0,34935.65,-6.7,598,moderate,review
Company 174,services,83937.79,1.085,19,75.02,23516.32,62.8,2,208562.83,-6.9,539,high,approved
Company 175,technology,140754.1,0.271,31,61.94,224827.81,50.02,5,400982.62,13.16,552,moderate,review
Company 176,technology,64757.29,0.951,30,76.18,51803.97,93.88,0,171232.33,-5.69,596,moderate,review
Company 177,retail,388588.45,1.146,45,91.53,219651.26,91.32,1,912853.49,17.21,629,moderate,review
Company 178,services,44248.14,4.044,13,63.4,52344.28,81.4,5,94179.65,4.23,421,high,denied
Company 179,services,77596.02,0.053,14,67.19,9731.09,74.78,2,139884.7,17.29,615,moderate,review
Company 180,healthcare,31601.36,0.829,8,61.67,31103.81,56.98,2,47024.66,14.55,564,moderate,review
Company 181,services,45196.74,2.22,33,35.08,76980.42,28.38,2,120410.17,17.64,566,moderate,review
Company 182,services,73068.1,0.056,27,85.09,136148.48,83.79,2,154805.46,-2.15,595,moderate,review
Company 183,manufacturing,117835.31,0.294,18,38.85,88477.11,5.97,2,187034.19,11.13,612,moderate,review
Company 184,retail,77286.6,0.963,35,57.62,102066.97,25.47,0,190278.01,16.07,673,moderate,review
Company 185,healthcare,163945.92,0.506,19,57.08,87049.47,41.34,2,104148.18,-18.27,538,high,denied
Company 186,healthcare,55493.86,0.708,10,49.6,64617.32,57.75,2,140554.76,30.53,567,moderate,review
Company 187,retail,45902.06,0.685,27,58.18,26744.96,55.48,1,115983.27,38.99,622,moderate,review
Company 188,technology,500000.0,1.139,22,73.26,592788.68,20.82,2,535661.77,19.21,651,moderate,review
Company 189,healthcare,82075.11,0.432,20,51.8,34986.32,14.43,1,48767.31,17.09,644,moderate,review
Company 190,retail,33671.76,1.222,22,42.08,63583.79,25.01,1,76915.39,13.83,596,moderate,review
Company 191,services,34357.96,1.512,45,90.86,61333.88,36.38,3,34346.93,0.15,639,moderate,review
Company 192,technology,28165.58,0.906,11,97.96,20846.61,6.26,3,84216.63,3.35,651,low,approved
Company 193,technology,126659.22,0.362,14,62.1,199571.81,67.32,3,66237.22,19.47,586,moderate,review
Company 194,services,44734.4,2.158,28,52.89,12590.85,27.3,4,48066.22,-9.6,514,high,denied
Company 195,technology,66296.34,0.05,3,33.32,99887.75,36.63,1,40119.63,-10.91,533,high,denied
Company 196,technology,56908.11,0.684,8,32.58,36231.82,35.14,3,139802.69,-0.96,518,high,denied
Company 197,manufacturing,107494.39,1.387,28,57.5,38452.82,51.06,0,209263.49,14.84,616,moderate,review
Company 198,services,30412.37,0.475,25,95.12,42229.5,82.38,1,79713.45,-7.99,669,moderate,review
Company 199,technology,25324.87,0.4,32,81.15,25138.3,18.45,0,73607.58,1.62,689,moderate,review
Company 200,retail,71642.08,0.128,6,54.45,79326.78,35.67,2,145095.78,3.4,588,moderate,review
Company 201,healthcare,96835.35,0.584,42,97.76,105454.34,67.28,2,104522.51,-10.18,658,moderate,review
Company 202,services,78121.91,2.677,24,60.01,16636.15,8.98,1,57155.83,-31.6,576,high,denied
Company 203,manufacturing,31333.31,0.05,8,49.38,6192.17,79.7,1,83523.72,-10.4,527,moderate,review
Company 204,technology,102948.88,0.059,16,59.84,127884.98,91.56,1,114559.78,8.91,611,moderate,review
Company 205,technology,33021.4,2.297,12,44.81,42443.83,59.69,1,90273.77,12.29,526,high,denied
Company 206,technology,39449.2,5.09,23,91.99,7480.82,91.09,1,106343.96,12.42,572,high,denied
Company 207,technology,28136.9,0.954,23,55.28,23045.1,42.18,0,58229.96,14.14,634,moderate,review
Company 208,healthcare,169553.99,4.97,22,76.06,214387.02,42.35,2,340801.75,-4.4,479,high,denied
Company 209,technology,99383.09,0.786,23,57.23,133937.92,14.56,1,285931.72,-7.61,610,moderate,review
Company 210,manufacturing,97148.37,0.813,45,93.12,162599.56,8.19,1,232188.28,10.63,754,low,approved
Company 211,healthcare,162392.11,1.294,47,74.97,146054.06,27.01,2,358594.98,1.82,652,moderate,review
Company 212,manufacturing,500000.0,3.761,25,64.18,570844.89,48.03,1,794675.94,18.61,557,high,denied
Company 213,technology,15254.34,0.341,48,39.25,18293.99,50.69,3,26084.86,10.72,614,high,review
Company 214,services,33166.6,0.766,41,93.13,22980.68,24.58,2,48831.28,24.26,704,moderate,review
Company 215,healthcare,36572.79,2.707,41,68.28,7397.52,60.15,0,104810.41,-1.98,591,moderate,review
Company 216,healthcare,30313.37,2.533,12,49.95,3274.73,21.31,1,63515.55,21.01,553,low,review
Company 217,technology,25284.16,2.249,22,91.45,42695.8,34.36,5,61969.18,35.52,638,moderate,review
Company 218,technology,47111.74,1.201,18,33.81,22634.39,22.61,0,27937.23,5.81,562,moderate,approved
Company 219,services,22622.88,1.205,5,51.99,29352.82,67.7,3,59522.28,12.49,524,high,denied
Company 220,retail,78278.94,0.79,4,67.58,93652.16,51.49,4,120870.18,-8.96,535,high,denied
Company 221,retail,62402.38,0.076,31,53.79,53622.54,71.25,4,146202.59,18.41,580,moderate,denied
Company 222,manufacturing,87976.32,0.441,21,63.37,148120.21,10.15,4,52791.36,21.94,598,moderate,review
Company 223,healthcare,89875.69,1.389,41,48.5,128249.29,43.28,1,245781.52,-2.42,577,moderate,review
Company 224,services,96994.11,0.469,33,39.11,13890.41,92.03,3,208499.88,13.79,554,moderate,review
Company 225,retail,44412.35,0.338,5,32.58,69981.37,9.83,3,73002.89,9.21,540,high,denied
Company 226,services,326738.27,0.05,42,41.04,347420.07,42.65,1,411329.25,10.86,595,low,review
Company 227,technology,72225.24,1.65,25,96.71,54843.27,8.64,2,92272.11,17.18,682,moderate,review
Company 228,manufacturing,13494.16,0.777,28,70.28,19985.94,18.2,2,16982.34,12.78,631,moderate,review
Company 229,manufacturing,26852.1,0.485,48,64.23,37687.59,46.63,2,22221.85,2.92,655,moderate,review
Company 230,technology,14877.39,1.102,32,56.9,10267.15,19.18,2,24689.38,17.5,627,moderate,review
Company 231,technology,60710.24,0.177,2,79.59,119464.03,51.69,3,99183.29,21.68,602,moderate,review
Company 232,retail,54315.01,2.098,9,39.89,72377.25,88.05,2,83093.36,-3.31,467,high,denied
Company 233,services,41161.53,0.838,21,49.33,51492.31,23.04,4,92931.86,4.97,539,high,review
Company 234,manufacturing,299162.11,2.01,2,75.91,69636.77,14.65,3,463562.81,-21.53,517,high,denied
Company 235,services,92891.4,0.05,9,63.53,58587.13,79.27,1,67114.9,13.75,590,moderate,review
Company 236,services,107031.52,0.187,39,83.91,101599.74,46.42,2,281508.86,23.35,667,moderate,review
Company 237,manufacturing,28428.32,0.112,7,92.8,36905.33,84.43,2,44426.42,1.14,614,moderate,review
Company 238,healthcare,26921.6,0.262,9,87.64,28920.55,32.55,0,57564.14,7.0,664,moderate,review
Company 239,technology,61663.31,1.234,25,42.89,95563.49,61.48,1,174182.88,1.7,529,high,review
Company 240,technology,68761.94,0.124,5,36.4,41180.06,88.1,3,166303.35,-0.76,481,high,denied
Company 241,services,13560.97,3.088,13,41.86,19447.76,20.45,2,25047.06,8.48,520,high,denied
Company 242,healthcare,51831.55,0.97,46,84.85,85601.59,77.07,0,96539.15,-6.76,643,low,review
Company 243,technology,60551.99,1.544,31,93.97,94073.27,61.84,3,158877.99,1.47,614,moderate,review
Company 244,manufacturing,50406.76,3.137,48,94.78,78866.85,78.17,5,128994.98,-8.57,549,moderate,review
Company 245,manufacturing,31234.79,0.433,18,50.88,55852.9,20.36,5,29567.84,13.84,615,moderate,review
Company 246,services,38885.31,1.219,31,88.82,10107.82,44.07,1,80346.88,8.59,682,moderate,review
Company 247,manufacturing,51974.72,0.079,12,67.54,74046.51,16.6,3,138475.67,-1.47,574,low,review
Company 248,retail,64385.26,0.056,19,87.6,124938.86,91.41,0,161495.53,5.56,634,moderate,review
Company 249,retail,97132.69,0.668,9,68.39,115581.71,10.64,1,78851.35,1.69,622,moderate,review
Company 250,retail,142156.66,1.05,41,40.21,72912.29,10.89,5,225919.92,22.16,599,moderate,review
Company 251,healthcare,47312.12,1.239,10,35.55,94512.22,85.83,2,84952.83,-1.62,468,high,denied
Company 252,services,41567.55,1.985,11,97.01,17952.48,32.07,4,47575.05,14.53,583,moderate,review
Company 253,manufacturing,84976.03,1.678,23,59.81,62674.89,58.73,3,186840.92,-5.58,508,high,denied
Company 254,technology,97604.21,0.878,22,54.54,41669.01,30.87,2,165006.39,17.21,596,high,denied
Company 255,technology,42304.12,0.643,16,54.94,41566.94,63.39,1,52616.66,20.56,587,moderate,approved
Company 256,healthcare,112680.85,0.488,18,56.53,100946.77,22.32,3,151235.88,21.27,605,moderate,review
Company 257,services,131093.79,0.05,15,96.15,135466.77,46.3,4,346306.64,27.07,627,moderate,review
Company 258,technology,168274.05,1.148,45,34.39,313522.9,53.01,1,448534.4,9.39,613,moderate,review
Company 259,technology,248365.5,1.931,29,38.33,250555.17,35.03,2,628597.96,23.57,582,moderate,review
Company 260,manufacturing,29937.5,1.481,46,85.28,32266.34,27.65,3,83366.11,29.36,649,moderate,review
Company 261,technology,60543.57,0.424,49,68.46,108051.87,17.62,2,174411.88,-11.83,657,moderate,review
Company 262,services,60416.78,0.634,32,39.0,99913.66,68.55,1,104495.04,-4.05,534,high,denied
Company 263,retail,55356.04,0.471,41,32.41,30748.73,20.15,3,41060.85,-17.44,593,moderate,review
Company 264,technology,35617.4,0.594,6,45.7,4436.48,31.29,2,89049.83,20.92,615,moderate,review
Company 265,services,18243.25,0.795,47,48.26,23644.15,35.32,4,38011.27,-17.63,562,moderate,review
Company 266,technology,64482.14,0.096,24,30.99,109955.89,45.89,4,93582.48,-21.7,490,high,denied
Company 267,retail,32380.62,0.279,35,45.13,37251.16,68.23,2,95161.24,-11.46,551,moderate,review
