companyName,industry,revenue,totalExpenses,accountsReceivable,accountsPayable,currentAssets,currentLiabilities,previousCashBalance,availableCash,monthlyExpenses,cashFlowStatus
Nova Corp 37,technology,120405.79,62282.43,41673.94,26693.07,112570.29,42108.03,52988.93,119798.72,57712.76,stable
Prime Holdings 38,manufacturing,79271.86,53556.56,20781.19,14040.84,106380.37,22241.47,47102.54,72253.71,51737.98,stable
Core Solutions 39,technology,168467.93,91776.88,47895.92,25144.1,190793.42,42901.5,116819.23,220734.57,88501.89,critical
Zen Tech 40,healthcare,77081.28,53814.42,23254.71,18145.59,80534.34,28201.33,74320.23,92635.73,51033.9,critical
Apex Inc 41,retail,81929.04,56997.78,6268.16,22257.77,65200.25,32458.69,86203.45,95760.32,58975.06,stable
Gamma Inc 42,services,68714.08,43353.97,14512.05,15197.23,114049.99,28789.21,24235.76,47202.83,40050.49,stable
Core Corp 43,healthcare,66775.37,42091.34,28758.28,17047.68,70079.99,24796.16,67632.24,86939.91,44948.4,stable
Vertex Tech 44,retail,39157.32,27333.05,6271.37,5034.51,37785.74,9719.62,37139.76,49473.59,28459.11,stable
Gamma Solutions 45,services,316779.61,142467.06,41454.39,60887.25,349198.58,95883.63,350100.73,463615.28,140255.01,stable
Core Group 46,services,37536.86,21405.63,7929.88,9015.55,26715.19,13559.02,41680.88,53829.71,22634.95,stable
Zen Holdings 47,retail,35147.12,28877.48,5178.32,8829.13,55120.73,14213.78,35139.14,38367.23,29423.4,tight
Omega Group 48,retail,84728.55,65399.06,16369.74,22067.13,67130.49,34266.14,39922.6,44994.66,66133.93,tight
Beta Inc 49,healthcare,87886.82,72867.53,33426.58,15582.28,137350.15,31179.68,51192.7,67486.64,70687.55,tight
Vertex Inc 50,technology,25299.28,18073.37,3812.83,5139.78,32372.3,10276.46,28909.17,35414.19,18545.03,tight
Core LLC 51,technology,191091.35,109953.54,62536.96,23179.42,312687.74,60511.27,160202.57,255544.41,103614.84,critical
Apex Inc 52,technology,72186.52,41475.33,18034.07,6494.75,101148.75,21558.34,56658.09,95434.49,41640.56,stable
Prime Group 53,healthcare,29542.25,20312.53,8239.73,9024.27,45740.29,15886.95,33209.58,41126.13,19064.89,stable
Core LLC 54,healthcare,185971.52,108413.67,63337.5,24690.56,234663.51,57979.34,202109.9,288980.56,107462.18,stable
Core Solutions 55,healthcare,118522.96,88098.48,43918.51,28890.36,161102.7,62095.21,113159.39,139869.55,89737.41,tight
Zen Group 56,healthcare,26126.04,17737.7,7000.82,4258.38,38395.5,9223.77,28582.6,38077.39,16760.01,stable
Omega Group 57,manufacturing,272953.42,196667.5,77854.18,51366.89,369484.92,112007.2,109850.51,174350.08,187923.5,tight
Prime Tech 58,manufacturing,111563.37,84225.47,32148.88,22684.32,144999.53,43985.37,109531.76,152777.38,88446.96,tight
Nova LLC 59,technology,77204.06,56963.2,23342.56,14270.08,77814.53,27476.77,90257.43,116912.62,54736.74,tight
Zen Holdings 60,technology,277767.39,170459.3,71280.34,58164.11,281858.09,97868.84,95573.96,201168.34,159428.7,stable
Nova Corp 61,healthcare,81614.3,52311.24,24568.44,22927.02,94634.1,32713.37,40867.63,65810.68,50894.15,stable
Peak Solutions 62,manufacturing,64398.38,52851.59,19403.01,14723.95,52200.1,33177.05,65336.76,74389.48,56531.25,tight
Vertex Group 63,manufacturing,38834.72,30190.27,6774.29,13344.04,42399.84,18290.48,29826.72,30078.46,31126.33,tight
Prime Inc 64,healthcare,114439.54,71447.08,46144.71,25030.71,103681.31,47798.84,43253.17,91964.9,72309.41,stable
Apex Corp 65,manufacturing,96431.92,67542.36,23311.46,22433.58,126012.94,47161.85,52185.31,77947.64,71221.19,tight
Prime Holdings 66,manufacturing,66639.6,47689.33,16340.58,10545.6,96576.58,23629.5,39427.56,59433.88,48911.6,tight
Flux Holdings 67,manufacturing,35007.62,25518.63,5762.1,4309.49,42945.4,8585.14,20617.96,28913.11,26789.03,tight
Flux Holdings 68,retail,66432.65,42614.68,9477.56,17283.68,88766.25,28240.1,72405.31,91779.54,43686.23,tight
Zen Group 69,technology,73609.2,35082.23,24341.04,11303.3,61146.6,19575.92,65941.53,106462.51,37126.87,stable
Core Holdings 70,retail,20603.59,13990.02,1713.8,3837.8,13240.31,9383.23,19808.82,24206.26,14267.6,tight
Core Group 71,technology,23978.54,12536.48,7791.39,4934.24,36528.76,8981.22,7486.41,19070.69,12064.86,stable
Zen Inc 72,retail,94100.88,65728.91,14533.94,15983.57,137137.99,37696.45,64436.6,88220.2,60903.02,stable
Omega Group 73,services,9000.0,5406.99,1510.31,2082.15,12469.62,3590.47,5274.35,8747.34,5065.55,stable
Peak Group 74,technology,91738.07,53803.06,31441.72,13364.1,138134.22,30976.72,97860.01,142469.41,53910.2,stable
Gamma Solutions 75,technology,53098.17,32693.16,10082.66,13935.93,74192.48,24745.68,61513.32,76253.48,35160.94,stable
Prime Group 76,retail,170518.19,111187.37,28533.5,25616.46,239906.13,44139.14,116124.04,169281.05,115803.18,stable
Nexus Group 77,retail,40345.11,28768.83,9318.58,5502.51,58716.22,11418.86,47435.94,60678.17,30036.7,tight
Gamma Tech 78,healthcare,121772.39,84873.0,51387.6,30505.82,202142.85,43511.91,38105.42,72180.37,87097.17,stable
Nova Tech 79,manufacturing,47943.53,35842.4,12920.32,7127.41,40440.85,17071.95,28437.58,41596.82,38156.32,tight
Prime Inc 80,healthcare,78693.83,46589.43,26355.82,20257.5,70681.82,37446.67,78492.22,112833.18,48344.62,stable
Nova Tech 81,healthcare,129545.93,85880.27,41222.79,29771.82,152777.38,55741.03,80848.28,134450.6,82559.98,stable
Vertex Corp 82,retail,41355.28,38291.18,5576.91,8395.65,48073.46,18927.72,46684.58,44140.47,38288.01,critical
Vertex Solutions 83,services,119597.04,65610.0,27171.3,13951.68,178176.8,38981.34,59394.09,124819.47,64605.83,stable
Peak Inc 84,technology,35150.92,19141.26,9126.51,8176.43,38467.25,11871.74,35716.85,48733.54,18116.48,stable
Core LLC 85,technology,98522.33,57743.84,33287.86,19191.59,109654.2,28930.15,47441.66,104504.05,55178.88,stable
Beta Tech 86,technology,162832.29,98900.13,66217.06,41352.2,274878.22,78867.63,77735.23,165429.42,95500.44,stable
Core Corp 87,healthcare,121826.3,77713.79,42262.26,14226.87,133551.19,43423.59,85421.49,164552.5,73655.81,stable
Omega Solutions 88,manufacturing,305121.73,212819.85,55770.23,91005.53,458787.63,159266.03,351026.23,413928.8,203193.87,stable
Apex Group 89,technology,42260.7,20476.33,9836.72,6266.06,38452.85,10596.7,34945.77,59497.81,21840.53,stable
Beta Corp 90,manufacturing,21850.76,13612.79,6311.12,4771.65,25091.26,10113.86,19043.58,28479.54,13271.36,stable
Vertex Tech 91,technology,35133.0,20660.07,10434.95,5410.1,42092.44,12462.14,10847.64,25174.98,21742.72,stable
Beta Group 92,healthcare,121865.79,77601.52,47995.81,13017.04,145428.78,37731.08,42769.25,107826.6,72192.88,stable
Peak Tech 93,retail,89173.42,62840.95,10996.71,27486.11,55882.77,40414.24,32123.89,37456.81,67685.32,tight
Prime Tech 94,retail,64978.08,47813.4,12445.33,21438.55,60237.31,34743.69,67426.33,77109.34,49839.1,tight
Beta Corp 95,retail,24382.83,18406.14,3464.44,4773.89,23888.8,11319.92,12512.46,15313.2,19603.91,tight
Apex Inc 96,manufacturing,121637.92,93801.45,25954.47,40631.07,124922.1,74874.71,72490.65,71041.08,94190.34,tight
Zen LLC 97,retail,22476.74,16679.16,2920.85,3341.13,31815.95,8184.05,19081.8,24358.33,17038.19,tight
Nova Group 98,technology,196717.49,124311.34,47241.17,24415.41,154917.98,59309.41,162401.87,257438.54,121543.06,stable
Vertex Corp 99,technology,650000.0,361836.78,259654.19,62211.88,837470.84,179599.32,435159.76,844903.86,357901.81,stable
Prime LLC 100,services,72243.7,43040.46,14100.59,11508.19,52932.7,23648.28,21952.71,55099.33,44767.19,tight
Alpha Solutions 101,services,85916.05,49836.33,19951.92,8257.42,142867.51,20936.79,60540.09,108217.4,46247.87,stable
Nexus Inc 102,healthcare,48437.7,34839.56,15652.96,9350.84,78147.74,15320.76,46742.11,64724.12,32256.15,tight
Zen Holdings 103,retail,14070.41,11355.9,1370.51,2174.85,22225.13,4236.09,7200.05,8898.55,12037.11,tight
Peak Group 104,services,33271.75,19866.52,6265.27,7333.89,53183.78,14089.88,31193.01,42066.66,18626.88,stable
Omega Corp 105,healthcare,29971.59,19245.56,12140.28,7698.39,36591.49,10703.89,9400.22,23185.58,19926.17,stable
Alpha Inc 106,healthcare,22577.7,15117.92,7314.35,5387.19,34217.56,7852.56,25223.96,33926.95,14391.15,stable
Prime Corp 107,retail,237491.7,198324.74,25286.55,41677.6,216836.45,116279.61,274311.29,300832.14,194079.28,tight
Peak Holdings 108,retail,74480.31,51974.89,11751.0,19753.29,115145.39,36697.07,22509.09,41623.61,50258.06,stable
Omega Corp 109,technology,105462.88,57975.83,34270.28,13035.87,130320.9,21793.3,75093.43,140862.53,57886.18,tight
Prime Solutions 110,services,42083.94,23757.0,11873.67,8976.5,48734.47,14393.35,28298.92,43954.0,24998.68,stable
Nova Solutions 111,manufacturing,57354.89,42053.89,15353.19,13466.46,96456.94,27799.67,60663.98,72125.21,44580.71,stable
Omega Corp 112,technology,168384.41,89929.31,55937.24,23382.86,281023.47,46260.89,132459.5,232137.71,85929.9,stable
Peak Tech 113,retail,58345.08,43409.85,10850.07,7598.79,96408.09,19197.88,49606.67,68412.14,42282.22,tight
Nexus Tech 114,manufacturing,100696.4,69730.25,19368.88,27770.27,76412.19,46227.85,48561.38,69725.6,73489.18,stable
Beta Corp 115,technology,66540.15,28131.68,16757.03,12149.96,66218.91,17791.31,24577.15,70931.81,26284.6,stable
Prime Tech 116,services,40983.19,21820.78,5975.56,7632.37,38797.26,14840.82,37831.5,54777.26,20483.24,stable
Vertex Inc 117,healthcare,23313.55,14860.4,6606.89,6529.1,28156.82,9140.84,20017.21,27180.63,14811.85,stable
Nova Holdings 118,healthcare,14766.59,9408.92,5755.62,4048.03,20125.43,6652.54,15491.57,20177.31,9845.71,stable
Nexus Inc 119,retail,48569.47,41928.72,7989.8,8737.21,46431.2,16808.03,51494.09,58280.93,40828.35,tight
Vertex Solutions 120,manufacturing,68906.62,41532.51,17500.55,15340.6,106421.12,22053.63,59806.24,83321.71,38671.3,stable
Alpha Solutions 121,manufacturing,23538.82,14924.32,2833.23,3802.59,19857.54,6575.69,18466.8,23879.95,16041.54,stable
Core Tech 122,manufacturing,64069.92,31459.89,22602.19,9320.16,99262.96,20876.44,71925.37,109456.41,33669.19,stable
Gamma Tech 123,technology,81256.52,45627.7,20743.68,8992.75,130583.67,17846.21,82974.1,125202.27,46736.65,stable
Alpha Corp 124,retail,10670.02,7664.8,2695.15,3391.17,14471.63,5074.3,11674.95,12814.62,7887.84,stable
Apex Holdings 125,technology,37431.38,20931.69,8517.06,7699.54,40489.4,11561.93,44777.54,59841.15,22384.17,stable
Gamma Inc 126,manufacturing,91228.38,71943.99,19101.39,16552.33,81856.6,40573.45,60498.57,72152.24,73600.01,tight
Nova Corp 127,retail,81605.1,66822.28,3252.58,17470.12,55018.46,34934.94,77136.5,74741.99,69905.86,tight
Gamma Inc 128,technology,30928.22,18749.57,9838.46,5188.85,48318.57,12424.47,28431.11,41283.63,18640.12,stable
Vertex Tech 129,technology,88355.41,50393.59,21641.52,18860.31,107269.58,34788.78,40354.43,74713.09,48200.48,stable
Core Holdings 130,manufacturing,149228.8,116711.12,29301.07,49918.42,110827.68,82929.84,130260.88,124732.13,122920.75,tight
Beta Corp 131,technology,144932.39,86730.35,33533.63,21373.14,248590.03,48620.15,99319.32,155866.81,89288.99,stable
Nova Tech 132,services,49931.68,24193.81,11927.07,7058.55,70412.2,10932.13,35230.39,59254.74,23379.21,stable
Apex Solutions 133,manufacturing,45293.97,25486.92,12934.74,8358.75,73818.1,18239.14,20931.44,42969.59,25989.63,stable
Nova LLC 134,retail,36189.5,25864.45,8707.26,6931.76,42659.84,16995.81,35113.42,46962.89,27174.16,tight
Flux Group 135,manufacturing,95756.71,72810.67,20656.13,21934.54,160024.14,37882.62,88876.29,110749.63,70135.26,tight
Zen Solutions 136,technology,90984.77,71161.29,28290.89,12930.88,91937.02,34782.65,70882.7,111029.96,74214.42,tight
Zen Holdings 137,services,89157.76,49476.21,12083.84,9910.2,73169.04,19829.13,39322.79,81316.59,46090.8,tight
Flux Group 138,manufacturing,73189.65,46751.46,17071.34,12638.34,118829.45,26049.84,58637.96,87012.2,47686.11,stable
Omega Group 139,healthcare,138321.05,76796.23,44824.01,32598.6,237327.77,58916.46,53961.82,127829.45,82926.83,stable
Omega Corp 140,technology,83955.17,54080.26,27136.2,13780.05,111009.06,34598.54,50829.39,85419.32,57250.44,stable
Nova Group 141,manufacturing,123384.55,68951.07,37120.38,15509.71,114332.74,31699.71,78364.25,151106.65,73095.4,stable
Prime LLC 142,manufacturing,132186.41,98350.34,39596.88,36670.78,146035.55,68474.95,144755.07,172209.13,101188.45,tight
Zen Inc 143,services,28311.35,17423.29,4469.21,7574.58,39975.96,13308.7,19082.02,24180.03,17315.09,stable
Peak Inc 144,manufacturing,15503.09,11393.26,4649.74,3278.26,25516.78,5617.15,13001.25,18748.75,11716.31,tight
Vertex Holdings 145,manufacturing,226410.38,154508.57,56103.53,23575.15,248021.36,71049.15,246176.25,334484.31,150088.2,stable
Prime Group 146,retail,73521.05,58463.59,9834.92,20839.04,51097.41,39188.15,50228.37,59041.7,58957.19,tight
Zen LLC 147,retail,15190.28,11600.44,1740.42,3184.53,19448.14,7140.5,16638.42,19353.42,11674.09,critical
Flux Inc 148,manufacturing,37207.09,23728.82,8260.09,8354.77,54378.17,17845.99,15731.72,25421.36,23894.85,stable
Flux Tech 149,retail,111023.75,99702.99,26325.47,23262.2,128913.05,39220.47,69762.76,83675.5,98298.97,tight
Delta Inc 150,technology,62231.89,35588.28,19626.1,5363.95,87029.31,12502.12,23975.12,54641.33,34750.11,stable
Vertex LLC 151,services,35774.49,21896.14,7467.23,5547.36,60677.19,9625.95,28792.62,45567.82,21301.81,stable
Peak Inc 152,services,165271.52,58921.09,30887.21,21296.3,154014.26,32409.32,191971.77,292410.65,56326.03,stable
Nova Holdings 153,technology,33675.79,23644.37,14221.25,6335.13,50354.63,12566.89,30013.77,43719.33,23411.89,tight
Nexus Group 154,manufacturing,34779.64,28432.4,10964.3,6134.35,49603.11,16643.94,30031.11,38354.86,26693.45,tight
Beta LLC 155,technology,92177.69,55526.62,24330.02,16058.41,121034.3,30616.43,50729.33,95361.14,59094.3,stable
Peak Tech 156,healthcare,98192.54,68214.52,33024.04,25628.51,167462.35,47260.7,111742.72,142914.09,63517.91,stable
Flux Solutions 157,retail,89060.79,70774.94,12405.08,13152.1,110817.92,30430.02,64513.97,70747.13,74595.86,tight
Gamma Group 158,healthcare,148941.96,89153.28,53216.01,31874.58,203333.13,52372.33,80473.62,149221.52,85462.31,stable
Core Group 159,healthcare,84219.73,58429.1,26524.05,20462.06,78994.21,41412.33,100131.36,122977.6,61731.23,stable
Nexus Tech 160,healthcare,106279.61,62206.47,39529.73,16249.66,167406.33,35775.45,72356.38,118755.25,64398.79,stable
Gamma Tech 161,technology,63259.26,34874.8,23570.68,15383.3,63557.33,23673.87,40128.46,69446.74,37223.82,stable
Flux Holdings 162,services,56658.55,36270.28,7610.3,15175.9,37444.98,28905.66,18780.33,26248.93,38418.83,tight
Nova Solutions 163,technology,84828.9,57511.67,20663.7,14081.64,104519.71,29875.95,39060.78,69785.3,59362.05,stable
Core Tech 164,technology,92451.81,50246.63,25502.1,8005.66,124651.6,17907.7,95065.62,148774.03,47446.31,stable
Peak Tech 165,manufacturing,122191.17,78362.89,27879.16,19002.33,211050.33,40223.43,89740.32,145300.83,78977.83,stable
Nova Corp 166,retail,93350.5,65191.54,23330.47,13782.57,136501.78,34557.48,108229.38,135755.95,63520.84,stable
Apex Tech 167,services,55827.01,33976.94,13961.52,10674.73,89249.29,18889.61,20962.89,45100.22,36074.14,stable
Peak Holdings 168,services,28207.37,13257.5,6973.32,5642.7,30847.7,10427.95,24098.94,37342.82,14047.07,stable
Core Holdings 169,retail,63204.89,49207.35,8645.27,20229.2,72413.62,34168.96,59917.34,56680.36,47743.23,stable
Alpha LLC 170,services,52692.33,32129.03,9784.14,7767.15,87466.81,16343.72,45266.13,64592.96,33011.68,stable
Beta LLC 171,retail,69880.73,51917.22,5409.8,14463.06,69517.58,33396.12,54289.63,63680.88,50573.89,tight
Zen Solutions 172,manufacturing,384819.79,300469.25,111246.4,48364.33,614317.63,128207.86,315732.51,464491.87,309035.78,tight
Delta Holdings 173,retail,39378.76,28575.4,6873.67,8951.22,47275.85,16198.01,36251.87,43093.79,29096.02,tight
Delta Inc 174,services,75544.01,40256.77,19966.27,6803.81,74657.25,13886.15,81356.16,122028.99,40327.28,stable
Vertex Holdings 175,technology,182980.33,95482.85,52965.21,41208.66,250660.57,64184.03,110284.11,202312.62,101263.85,stable
Gamma Corp 176,technology,84184.47,57361.13,24658.56,23522.66,85108.24,37820.61,60081.51,82999.81,55030.43,stable
Alpha Group 177,retail,388588.45,267612.46,61592.15,57337.65,257062.63,109563.72,338972.94,470077.65,280349.38,stable
Beta Holdings 178,services,39823.32,23017.15,9740.58,8281.82,39046.41,15116.89,23208.81,38415.85,23715.06,stable
Apex Holdings 179,services,69836.42,38011.59,8833.55,12179.15,57240.23,19247.8,32187.92,52971.85,36681.29,stable
Gamma Inc 180,healthcare,37921.63,21455.2,14668.19,8376.27,47694.94,12794.37,44351.31,63680.75,21186.36,stable
Beta Corp 181,services,40677.06,20390.26,8093.73,5968.14,64577.77,11886.88,19332.02,39430.64,18984.2,stable
Beta Inc 182,services,65761.29,43443.87,9671.39,9015.97,68057.75,18453.98,33502.73,57461.17,44122.12,stable
Flux Holdings 183,manufacturing,129618.84,92824.28,18894.5,31741.54,193256.16,60509.37,111059.69,132802.9,98585.19,tight
Delta Tech 184,retail,77286.6,51725.45,11065.61,9004.58,92650.35,25692.67,28567.56,52938.89,48562.48,stable
Zen Solutions 185,healthcare,196735.1,132683.32,83098.08,43172.02,182963.71,73068.57,65049.06,168249.3,124870.89,stable
Nexus Solutions 186,healthcare,66592.64,42506.81,28883.51,9088.44,74748.3,16393.1,23814.34,56780.24,42333.83,tight
Vertex LLC 187,retail,45902.06,47110.37,7700.93,16746.84,73399.54,29577.96,18862.87,5328.05,45461.36,critical
Flux Corp 188,technology,650000.0,404826.44,258765.18,161288.1,976477.92,231414.0,446080.16,709714.53,390377.63,stable
Omega Tech 189,healthcare,98490.14,61019.56,34260.08,11157.88,175056.35,28170.68,103053.63,153710.71,62373.42,stable
Beta Group 190,retail,33671.76,29079.01,6655.73,7853.67,33933.9,17494.95,20464.84,22694.75,28661.46,tight
Omega Corp 191,services,30922.16,12452.88,5486.78,4608.27,43105.52,8407.43,21174.83,42261.92,13139.58,stable
Delta Group 192,technology,36615.26,22245.44,10042.47,4429.31,56618.0,10259.1,30765.09,49929.6,21992.4,stable
Core Holdings 193,technology,164656.99,125065.92,43819.27,40015.73,286803.52,88349.29,94172.27,133997.26,127372.65,stable
Beta LLC 194,services,40260.96,21769.27,3904.25,7653.02,24766.53,11472.15,27751.24,44317.69,21413.61,stable
Beta Corp 195,technology,86185.24,39760.35,31401.99,10196.07,156563.41,24907.41,55820.5,113924.38,38208.25,stable
Nova Holdings 196,technology,73980.54,42045.1,19820.75,16801.0,85781.07,31518.14,44957.62,86286.04,41852.25,tight
Nova Corp 197,manufacturing,118243.83,96529.7,24822.7,29267.56,183032.04,53876.33,76805.73,83762.74,99934.97,tight
Delta Group 198,services,27371.13,15877.6,3859.37,5368.19,32454.35,8356.62,8485.21,20554.2,17027.92,stable
Omega Solutions 199,technology,32922.33,17544.03,9540.3,3373.05,44591.04,6688.28,36136.69,59612.37,16258.87,stable
Core Tech 200,retail,71642.08,49804.18,17063.32,7816.67,78630.94,26764.74,84509.86,103190.06,50057.8,stable
Gamma LLC 201,healthcare,116202.42,70328.49,52835.96,11620.0,207207.69,26278.29,125062.46,205531.84,71858.46,critical
Beta Corp 202,services,70309.72,40702.0,8223.19,17142.71,61940.77,32142.57,21456.28,39026.52,38004.08,stable
Nexus Group 203,manufacturing,34466.64,27816.5,8005.83,11538.08,42205.06,19210.53,33632.44,34743.47,29281.52,tight
Peak Inc 204,technology,133833.55,91568.09,33228.48,35920.1,175115.39,60225.35,109180.09,145573.32,88285.59,critical
Alpha Tech 205,technology,42927.83,27322.74,14999.71,5734.6,68338.44,14064.7,16516.8,35583.88,28961.72,stable
Peak Holdings 206,technology,51283.96,25307.02,16120.07,7785.39,65949.38,12941.94,58441.83,89391.17,25520.03,stable
Prime LLC 207,technology,36577.97,18060.94,9809.17,7022.73,52981.52,11666.06,36526.59,52199.73,17055.53,stable
Nova Solutions 208,healthcare,203464.79,140931.95,71950.98,49664.53,272423.63,103869.93,87645.85,145995.41,146326.17,tight
Delta LLC 209,technology,129198.01,63612.23,35675.33,11746.4,185457.25,25077.25,150856.42,237729.6,60123.52,tight
Omega Group 210,manufacturing,106863.21,72875.86,35340.98,30510.38,160813.72,58232.06,44196.37,72386.53,75445.5,stable
Vertex Tech 211,healthcare,194870.53,131407.44,73534.0,26045.58,309218.53,78418.33,138204.5,219314.57,137887.37,stable
Prime Inc 212,manufacturing,550000.0,334945.86,155920.14,67504.56,883735.03,122092.96,243692.99,532576.2,338993.57,stable
Vertex LLC 213,technology,19830.64,10273.44,3304.86,4317.95,23943.05,7223.74,8629.73,15157.65,9897.17,stable
Omega Tech 214,services,29849.94,16192.71,5870.31,4783.08,26564.62,7907.55,34955.03,46191.36,16030.36,stable
Delta Group 215,healthcare,43887.35,30295.09,19931.9,7933.3,71703.22,17186.29,35764.27,56581.59,30430.91,stable
Nexus LLC 216,healthcare,36376.05,26733.54,15143.58,8450.39,36136.86,19073.92,19397.8,31880.07,27442.65,tight
Core Corp 217,technology,32869.41,21317.92,6825.19,9474.09,30456.81,17451.69,32828.63,40569.17,21774.73,stable
Vertex LLC 218,technology,61245.26,37108.05,17413.79,6897.98,96552.32,21044.02,66617.7,101975.97,36516.84,stable
Peak Group 219,services,20360.59,9982.89,2848.94,3764.39,21887.52,5794.29,22922.84,31738.14,10395.25,stable
Apex LLC 220,retail,78278.94,52002.85,18439.0,13016.2,96564.84,27867.16,89213.45,110672.8,54261.16,stable
Alpha Inc 221,retail,62402.38,44251.39,10122.53,8191.59,102939.64,17427.19,69580.13,91487.87,45641.46,tight
Nova LLC 222,manufacturing,96773.95,70915.45,20478.36,19613.8,91623.9,46196.89,84680.99,104644.91,68330.21,tight
Delta Holdings 223,healthcare,107850.83,73007.45,37931.99,22970.03,93966.18,37410.07,65597.03,105471.06,72649.96,stable
Flux Tech 224,services,87294.69,33347.26,6078.48,7062.57,59448.07,13348.18,98905.84,151000.33,32988.48,stable
Vertex Holdings 225,retail,44412.35,30517.76,4252.57,8288.04,37317.65,12958.5,18220.03,28261.32,32064.61,stable
Nova Holdings 226,services,294064.44,190071.67,59348.73,64757.95,419848.21,101914.49,132893.55,199273.03,199443.87,stable
