companyName,industry,revenue,numDepartments,fiscalQuarter,yoyGrowth,operatingMargin,headcount,prevUtilization,totalBudget,remainingBudget,approvedDepartments
Company 91,technology,27025.39,3,1,7.69,25.05,111,72.45,16446.57,13979.59,2
Company 92,healthcare,101554.82,4,4,24.36,30.5,461,56.45,111665.6,33474.99,3
Company 93,retail,89173.42,4,1,7.44,8.42,385,86.34,56737.56,48226.92,2
Company 94,retail,64978.08,4,3,-11.59,32.74,14,82.57,19435.52,9514.94,1
Company 95,retail,24382.83,4,1,7.7,32.12,52,85.62,14220.83,11869.58,3
Company 96,manufacturing,110579.92,5,3,4.36,20.57,37,83.59,47496.13,27386.11,5
Company 97,retail,22476.74,3,4,15.37,23.74,213,50.92,51571.47,19062.49,2
Company 98,technology,151321.15,6,3,12.28,11.38,214,59.6,117122.89,64557.66,6
Company 99,technology,500000.0,4,3,-30.83,18.44,364,59.11,126823.07,55842.89,2
Company 100,services,80270.78,6,4,11.54,11.08,341,55.39,70020.56,25511.58,2
Company 101,services,95462.28,5,4,-7.04,5.66,17,90.45,43503.24,15717.94,1
Company 102,healthcare,40364.75,7,4,-12.06,34.43,243,56.61,32328.49,8693.05,4
Company 103,retail,14070.41,5,1,2.74,12.77,394,86.75,61551.5,52318.77,4
Company 104,services,36968.61,4,3,9.93,22.79,449,59.81,83402.32,45021.32,4
Company 105,healthcare,24976.33,5,4,-14.69,14.01,153,56.51,21868.17,8577.45,1
Company 106,healthcare,18814.75,6,2,13.45,16.12,31,58.94,11674.99,9495.65,3
Company 107,retail,237491.7,5,3,14.16,16.93,84,77.96,82079.9,40180.82,5
Company 108,retail,74480.31,5,1,5.56,15.05,176,85.5,68453.96,58185.86,1
Company 109,technology,81125.29,5,4,-5.41,24.12,227,94.66,63312.18,26019.42,3
Company 110,services,46759.94,4,3,-6.75,33.83,182,57.07,51703.52,24103.5,1
Company 111,manufacturing,52140.81,4,3,17.31,17.86,54,83.89,33664.14,19022.0,1
Company 112,technology,129526.47,7,4,-13.13,34.2,176,92.56,66977.81,29950.55,1
Company 113,retail,58345.08,6,1,17.77,25.03,152,67.18,41301.77,35106.51,2
Company 114,manufacturing,91542.18,3,2,3.02,23.21,248,54.38,67307.18,57211.11,2
Company 115,technology,51184.73,7,4,3.85,12.11,48,58.58,39166.96,18390.26,1
Company 116,services,45536.87,6,1,-15.5,6.89,397,55.04,55828.19,47453.96,3
Company 117,healthcare,19427.96,3,4,3.24,30.56,214,98.8,36899.41,11533.25,2
Company 118,healthcare,12305.49,6,2,12.36,22.22,165,70.72,32960.26,28016.22,5
Company 119,retail,48569.47,5,3,-11.04,17.43,454,78.78,41337.62,22533.53,2
Company 120,manufacturing,62642.38,7,3,10.98,29.36,374,92.28,70772.1,26309.52,7
Company 121,manufacturing,21398.93,5,3,6.07,14.32,77,70.43,14528.51,8021.14,3
Company 122,manufacturing,58245.38,5,4,-2.73,28.51,81,85.7,38145.99,14405.16,4
Company 123,technology,62505.01,4,2,15.26,14.84,11,54.22,37812.73,31732.7,1
Company 124,retail,10670.02,4,1,-21.43,32.63,284,76.45,37913.85,32226.77,1
Company 125,technology,28793.37,6,2,9.16,13.04,183,55.31,39454.11,29922.62,2
Company 126,manufacturing,82934.89,7,3,24.43,9.13,193,63.66,44446.08,28363.38,4
Company 127,retail,81605.1,7,4,22.28,25.94,259,66.13,57193.17,19171.16,7
Company 128,technology,23790.94,6,4,9.68,9.89,274,89.47,56588.14,12319.29,2
Company 129,technology,67965.7,6,2,1.38,33.48,10,87.08,21094.97,17930.73,6
Company 130,manufacturing,135662.54,5,4,-2.63,24.67,62,91.09,75478.5,24369.83,4
Company 131,technology,111486.45,4,1,1.36,11.93,396,53.4,110253.86,93715.78,1
Company 132,services,55479.64,6,1,11.53,11.26,477,104.67,105909.94,90023.45,5
Company 133,manufacturing,41176.33,4,1,-4.69,32.72,420,52.99,56029.2,47624.82,4
Company 134,retail,36189.5,4,4,14.09,23.24,454,95.42,71625.35,27273.42,4
Company 135,manufacturing,87051.56,7,1,30.6,31.81,237,90.71,55631.75,47286.99,7
Company 136,technology,69988.29,5,3,4.26,8.31,414,82.55,99479.44,46293.7,3
Company 137,services,99064.18,4,4,-11.13,32.76,442,74.14,83692.09,12474.79,1
Company 138,manufacturing,66536.04,7,4,-11.14,20.6,447,91.64,94130.24,43475.11,1
Company 139,healthcare,115267.54,7,4,14.32,25.05,83,90.69,45755.82,16464.91,6
Company 140,technology,64580.9,4,1,4.28,16.19,81,57.54,24427.62,20763.48,4
Company 141,manufacturing,112167.77,5,2,15.52,6.77,207,93.59,52549.3,44666.91,2
Company 142,manufacturing,120169.46,5,3,-1.4,33.74,256,54.32,78495.88,47705.69,3
Company 143,services,31457.06,6,3,14.97,34.84,479,77.53,46381.94,24781.54,6
Company 144,manufacturing,14093.72,7,3,3.1,15.94,165,85.48,35092.15,21026.56,6
Company 145,manufacturing,205827.62,5,3,-3.79,33.32,417,95.19,135162.84,91181.25,3
Company 146,retail,73521.05,6,2,0.19,10.03,444,75.47,123678.2,97290.33,4
Company 147,retail,15190.28,5,1,-9.36,9.64,482,63.03,90520.62,76942.53,5
Company 148,manufacturing,33824.63,7,2,28.87,7.19,102,76.99,18159.9,11986.37,5
Company 149,retail,111023.75,5,2,3.84,16.74,128,63.76,72143.29,46997.55,4
Company 150,technology,47870.68,4,3,12.73,6.57,117,79.08,21183.94,13537.51,2
Company 151,services,39749.43,5,4,-1.44,16.84,370,75.44,77002.83,21137.32,5
Company 152,services,183635.02,7,3,-7.62,9.15,346,92.93,49601.06,35884.73,4
Company 153,technology,25904.46,6,3,2.19,26.92,209,63.2,48838.26,32574.5,5
Company 154,manufacturing,31617.86,3,1,18.21,30.0,53,61.0,12824.2,10900.57,2
Company 155,technology,70905.92,3,3,-1.25,25.63,265,76.08,62655.25,39520.11,1
Company 156,healthcare,81827.11,5,2,-5.45,11.01,368,52.78,36465.74,25754.78,3
Company 157,retail,89060.79,7,1,6.87,28.01,242,62.61,66714.59,56707.4,6
Company 158,healthcare,124118.3,5,1,10.99,12.49,141,69.45,74273.76,63132.69,1
Company 159,healthcare,70183.11,5,4,24.71,27.78,300,76.82,37097.82,8162.8,4
Company 160,healthcare,88566.34,6,4,9.25,22.02,333,64.82,79082.12,36914.81,6
Company 161,technology,48660.97,5,3,12.73,16.0,299,80.84,48435.89,29718.77,4
Company 162,services,62953.94,7,4,13.63,7.5,437,98.31,95552.62,31905.0,5
Company 163,technology,65253.0,6,1,-8.84,29.83,163,79.91,41378.89,35172.06,3
Company 164,technology,71116.77,6,2,-6.56,33.19,308,65.78,55419.94,45290.47,4
Company 165,manufacturing,111082.88,6,4,-8.01,24.98,428,53.41,58917.75,19077.99,4
Company 166,retail,93350.5,6,1,-10.99,33.94,114,57.52,37928.96,32239.62,3
Company 167,services,62030.01,3,3,14.55,33.02,147,80.87,38324.16,25727.47,3
Company 168,services,31341.53,5,1,8.48,10.84,34,87.6,11453.38,9735.37,1
Company 169,retail,63204.89,3,2,5.95,26.94,193,52.73,29895.82,21883.75,2
Company 170,services,58547.04,5,2,-26.11,15.48,31,60.21,26999.17,22949.3,2
Company 171,retail,69880.73,3,2,29.67,19.63,375,67.55,54620.02,33765.83,3
Company 172,manufacturing,349836.17,5,4,-5.73,9.71,53,67.59,159134.97,59757.0,3
Company 173,retail,39378.76,4,4,29.62,34.24,349,102.71,40513.53,16171.62,3
Company 174,services,83937.79,3,3,-12.39,26.78,294,61.21,62443.57,30830.38,2
Company 175,technology,140754.1,3,3,-4.75,13.01,494,53.44,149172.59,95157.62,3
Company 176,technology,64757.29,5,1,-21.43,16.14,180,69.42,81353.43,69150.42,1
Company 177,retail,388588.45,3,1,9.35,17.67,178,57.39,149650.18,127202.66,2
Company 178,services,44248.14,7,1,-8.22,27.43,129,56.96,43994.63,37395.43,4
Company 179,services,77596.02,6,4,-7.88,32.77,273,72.41,68162.04,17254.9,3
Company 180,healthcare,31601.36,6,1,-11.47,14.64,117,66.85,37028.59,31474.3,2
Company 181,services,45196.74,3,2,14.33,19.18,65,55.04,22273.05,13840.75,2
Company 182,services,73068.1,6,4,13.54,22.8,474,83.24,41920.05,15210.96,5
Company 183,manufacturing,117835.31,6,3,26.74,16.8,342,77.59,136246.16,76775.74,1
Company 184,retail,77286.6,4,3,-3.23,20.13,68,54.24,29660.75,15329.4,3
Company 185,healthcare,163945.92,3,1,7.63,8.17,312,97.45,131558.26,111824.52,2
Company 186,healthcare,55493.86,5,3,-10.47,10.03,159,65.66,38984.91,21583.39,2
Company 187,retail,45902.06,6,3,0.98,17.03,98,102.88,41666.49,26848.87,6
Company 188,technology,500000.0,3,2,-1.23,32.45,241,101.23,398085.31,328345.57,1
Company 189,healthcare,82075.11,3,3,10.57,15.48,395,73.88,102405.07,61055.49,2
Company 190,retail,33671.76,4,4,17.2,12.49,10,62.57,19286.43,7007.7,1
Company 191,services,34357.96,5,2,16.89,27.29,184,95.92,43641.85,32392.15,4
Company 192,technology,28165.58,5,2,-5.11,33.47,461,69.87,43524.63,32898.34,1
Company 193,technology,126659.22,5,2,16.98,18.77,203,59.0,105455.02,84348.96,5
Company 194,services,44734.4,4,4,4.47,5.26,58,80.34,16381.43,5342.49,2
Company 195,technology,66296.34,3,1,1.1,25.64,220,76.92,54068.16,45957.93,3
Company 196,technology,56908.11,3,4,-3.5,17.45,344,96.75,46567.28,16181.01,2
Company 197,manufacturing,107494.39,3,4,-1.72,25.21,498,90.11,70233.67,25991.89,3
Company 198,services,30412.37,6,2,25.91,13.33,318,98.19,31790.16,21229.0,6
Company 199,technology,25324.87,6,3,8.69,5.07,34,90.41,14654.55,9312.36,3
Company 200,retail,71642.08,5,4,7.1,15.33,406,85.32,108753.12,31919.71,5
Company 201,healthcare,96835.35,3,4,1.85,26.14,392,77.51,74236.3,19048.12,2
Company 202,services,78121.91,5,2,34.35,16.79,329,104.32,63029.68,53575.23,1
Company 203,manufacturing,31333.31,7,1,20.66,11.58,449,102.75,95307.42,81011.31,3
Company 204,technology,102948.88,4,3,-3.65,18.92,386,96.69,107304.31,68478.14,1
Company 205,technology,33021.4,5,1,1.72,27.57,123,92.64,28670.73,24370.12,4
Company 206,technology,39449.2,5,1,2.43,8.58,216,81.77,45024.01,38270.41,1
Company 207,technology,28136.9,4,4,6.75,25.75,258,64.29,49348.2,15674.55,2
Company 208,healthcare,169553.99,5,2,-3.41,25.02,249,98.15,86307.45,72699.25,4
Company 209,technology,99383.09,5,3,10.27,16.12,323,50.59,75257.7,48962.78,2
Company 210,manufacturing,97148.37,5,1,22.43,34.11,353,62.51,61366.33,52161.38,4
Company 211,healthcare,162392.11,6,1,-10.76,31.84,60,72.21,81284.77,69092.06,3
Company 212,manufacturing,500000.0,5,1,-8.54,14.48,288,82.24,280162.48,238138.11,2
Company 213,technology,15254.34,3,2,-0.8,5.93,29,80.85,6128.72,4096.92,2
Company 214,services,33166.6,3,1,-0.24,14.25,260,59.67,55821.27,47448.08,1
Company 215,healthcare,36572.79,5,2,28.98,11.14,216,55.76,33475.97,21591.26,5
Company 216,healthcare,30313.37,7,2,17.02,21.42,110,62.23,23911.21,17859.16,6
Company 217,technology,25284.16,3,3,16.33,32.56,495,69.18,88921.7,48145.64,3
Company 218,technology,47111.74,3,3,1.83,31.11,136,50.77,26383.88,16215.74,2
Company 219,services,22622.88,6,2,1.56,14.17,37,88.09,13839.04,10762.78,6
Company 220,retail,78278.94,5,2,-12.42,17.86,185,63.63,23757.89,20134.09,3
Company 221,retail,62402.38,4,1,14.38,6.1,381,69.33,73874.98,62793.73,1
Company 222,manufacturing,87976.32,4,2,10.89,21.32,14,68.42,16056.44,12541.4,2
Company 223,healthcare,89875.69,6,4,20.43,6.9,251,78.15,74313.74,21833.29,1
Company 224,services,96994.11,5,4,2.47,33.16,214,97.29,62011.72,28141.36,5
Company 225,retail,44412.35,6,2,3.3,31.01,434,58.22,99828.68,65635.49,6
Company 226,services,326738.27,4,4,7.04,11.43,11,68.74,116482.94,42412.0,3
Company 227,technology,72225.24,5,3,15.7,25.98,18,88.06,54094.84,29507.0,5
Company 228,manufacturing,13494.16,7,1,-12.64,22.04,286,52.43,22205.41,18874.6,1
Company 229,manufacturing,26852.1,4,4,13.83,29.04,97,95.65,18081.4,6117.55,4
Company 230,technology,14877.39,4,2,4.75,19.27,354,102.9,39145.69,30560.71,4
Company 231,technology,60710.24,3,3,-7.7,10.75,146,83.42,46843.39,25233.08,1
Company 232,retail,54315.01,6,3,-20.02,24.2,285,102.61,60693.51,40753.29,4
Company 233,services,41161.53,3,2,3.36,7.41,28,72.72,13848.65,10804.62,1
Company 234,manufacturing,299162.11,4,3,22.37,22.54,349,72.83,134859.46,96771.39,4
Company 235,services,92891.4,6,3,25.1,11.38,263,55.84,51419.11,29914.6,4
Company 236,services,107031.52,3,2,9.26,25.55,10,51.95,29732.82,23243.36,2
Company 237,manufacturing,28428.32,7,2,28.54,29.84,140,63.45,25717.3,19760.5,7
Company 238,healthcare,26921.6,5,3,4.48,8.29,39,76.3,19140.96,11582.96,2
Company 239,technology,61663.31,4,1,16.44,17.01,31,77.92,43054.72,36596.52,2
Company 240,technology,68761.94,5,1,-0.41,27.01,352,61.97,62944.76,53503.05,1
Company 241,services,13560.97,6,4,-1.18,9.91,219,83.7,20151.35,6864.58,2
Company 242,healthcare,51831.55,5,2,-3.13,22.0,403,59.97,90366.7,72837.35,4
Company 243,technology,60551.99,7,3,-19.73,25.16,136,67.94,31942.18,18782.08,5
Company 244,manufacturing,50406.76,7,3,20.45,15.64,361,60.76,35910.92,21265.0,5
Company 245,manufacturing,31234.79,4,4,-2.7,29.96,311,88.32,46572.88,16188.38,2
Company 246,services,38885.31,6,3,-4.62,20.32,334,78.41,82332.16,56439.97,5
Company 247,manufacturing,51974.72,4,3,-9.16,23.81,415,90.49,74324.53,44134.31,1
Company 248,retail,64385.26,7,4,2.55,9.23,356,53.15,69626.81,38188.84,5
Company 249,retail,97132.69,4,4,26.16,5.69,375,73.39,81983.07,28201.2,2
Company 250,retail,142156.66,4,1,30.13,6.52,372,103.18,95074.94,80813.7,3
Company 251,healthcare,47312.12,6,3,-14.93,32.12,229,52.95,42108.63,21135.0,2
Company 252,services,41567.55,6,1,0.75,31.48,364,73.01,69249.02,58861.67,6
Company 253,manufacturing,84976.03,3,4,-7.41,29.23,422,52.22,118453.5,33600.2,1
Company 254,technology,97604.21,5,1,16.86,10.99,371,58.07,120576.88,102490.35,1
Company 255,technology,42304.12,4,1,8.44,20.76,307,75.44,47928.06,40738.85,4
Company 256,healthcare,112680.85,6,1,-2.64,28.88,46,58.66,54690.02,46486.51,4
Company 257,services,131093.79,5,3,5.87,25.24,223,78.53,38723.59,20957.84,4
Company 258,technology,168274.05,7,1,-0.73,8.47,41,100.75,45079.66,38317.71,2
Company 259,technology,248365.5,7,1,24.37,31.87,60,61.02,118340.1,100589.08,7
Company 260,manufacturing,29937.5,6,3,11.56,9.82,186,55.9,23123.34,15800.79,2
Company 261,technology,60543.57,6,4,13.04,10.15,237,95.39,59534.25,22467.16,6
Company 262,services,60416.78,7,3,-27.0,32.03,268,75.31,40844.91,18661.71,2
Company 263,retail,55356.04,3,2,4.2,19.54,451,98.54,82022.68,69719.28,1
Company 264,technology,35617.4,6,3,30.0,16.19,383,66.84,97084.5,47443.14,4
Company 265,services,18243.25,6,3,20.91,21.61,217,84.51,38045.69,23568.11,5
Company 266,technology,64482.14,3,2,-17.17,34.44,174,100.78,53781.19,44329.32,1
Company 267,retail,32380.62,7,3,1.24,8.59,359,59.44,71126.6,43337.78,3
Company 268,technology,64138.16,6,1,-9.42,27.71,144,94.04,43262.0,36772.7,1
Company 269,technology,31721.98,4,1,25.53,15.03,442,84.73,60497.72,51423.06,4
Company 270,technology,24841.56,5,3,7.93,8.51,392,94.71,51195.15,31170.86,3
Company 271,technology,72217.57,5,2,-4.21,17.66,344,59.39,77604.67,65963.97,4
Company 272,technology,67557.69,7,1,5.41,21.46,132,73.87,41048.79,34891.47,7
Company 273,technology,95170.53,7,1,-26.29,11.18,314,57.09,80615.34,68523.04,5
Company 274,manufacturing,344101.18,7,4,-8.02,17.16,412,102.8,197314.15,62553.52,5
Company 275,healthcare,74744.55,6,2,5.44,24.07,45,53.45,54193.79,43679.03,6
Company 276,retail,88262.04,3,1,15.15,22.29,96,53.6,53906.98,45820.93,2
Company 277,retail,25284.6,7,3,-18.3,26.69,262,99.4,56084.71,33881.46,5
Company 278,manufacturing,21385.62,3,3,0.43,30.09,186,66.54,20672.34,9247.34,2
Company 279,services,212407.86,3,2,17.12,17.27,357,82.84,128285.67,109042.82,2
Company 280,services,28601.55,3,4,-12.42,17.69,206,65.81,50207.5,19134.15,2
Company 281,technology,25973.83,7,2,7.75,19.9,498,85.68,54381.44,46224.23,7
Company 282,technology,58030.32,5,3,5.79,21.99,156,60.59,40870.23,25074.0,3
Company 283,technology,55706.16,4,3,25.57,8.25,186,75.24,52456.29,28096.59,2
Company 284,technology,29085.49,3,3,2.24,14.38,11,79.34,8005.76,3971.7,2
Company 285,manufacturing,46911.65,5,1,2.94,10.16,131,68.35,29577.07,25140.51,2
Company 286,retail,160091.46,6,3,15.26,16.58,125,63.84,66715.55,37199.25,2
Company 287,technology,31420.16,7,3,-10.92,34.2,383,57.71,42671.57,27945.23,3
Company 288,retail,19634.86,5,1,2.35,22.48,175,88.84,23784.36,20216.7,4
Company 289,manufacturing,127271.12,6,1,-0.47,17.88,109,59.26,62991.15,53542.47,3
Company 290,technology,88772.97,7,3,3.33,21.98,163,66.07,80144.01,53053.9,6
Company 291,services,36445.93,7,1,15.18,25.07,285,68.53,50039.77,42533.8,5
Company 292,technology,16886.44,4,4,11.65,18.05,394,74.99,46698.48,22593.93,3
Company 293,services,33001.27,7,1,-3.98,18.43,489,88.64,101054.64,85896.44,4
Company 294,technology,57310.35,5,4,6.64,26.04,33,73.54,19121.56,6815.83,5
Company 295,services,152137.15,7,3,22.89,6.83,422,97.91,57898.07,26510.5,5
Company 296,services,26127.26,3,2,-4.98,21.2,200,87.39,50270.2,42729.67,1
Company 297,services,55959.53,3,2,6.74,21.42,406,96.12,80507.28,52185.55,3
Company 298,services,102756.33,7,2,2.68,27.7,28,89.4,30992.53,20602.74,6
Company 299,healthcare,10000.0,6,3,4.24,34.48,316,58.17,66022.87,33620.36,6
Company 300,manufacturing,136903.14,3,4,-14.57,28.87,466,103.79,75604.72,33703.52,2
Company 301,healthcare,23249.51,7,1,21.93,20.11,29,93.26,9151.86,7779.08,7
Company 302,technology,78088.37,3,3,-4.29,10.08,397,81.5,79360.04,45216.5,3
Company 303,manufacturing,72936.65,6,4,17.31,22.65,66,59.09,27717.18,11683.18,6
Company 304,manufacturing,142581.51,4,2,-2.46,30.03,491,59.5,139946.2,107865.9,1
Company 305,services,93035.79,3,3,-2.51,32.97,374,83.79,64500.36,38299.95,1
Company 306,manufacturing,10000.0,7,1,19.56,29.76,455,72.89,87496.48,74372.01,7
Company 307,retail,31957.96,7,4,16.93,10.67,449,87.17,45242.71,14489.91,7
Company 308,manufacturing,66873.9,3,1,7.5,26.38,164,70.48,40677.1,34575.53,3
Company 309,retail,51226.7,3,2,14.13,31.4,213,78.21,31434.68,25701.93,3
Company 310,technology,87736.09,6,2,1.54,25.43,348,60.34,52278.99,43873.67,5
Company 311,manufacturing,112588.32,3,2,4.9,25.57,95,58.54,75849.73,59832.98,2
Company 312,retail,97417.52,6,1,-2.94,20.0,160,54.16,47648.39,40501.13,4
Company 313,technology,50442.03,7,3,15.85,24.11,58,95.08,41412.82,22524.4,7
Company 314,retail,13669.61,6,1,-3.32,13.83,445,80.55,75539.04,64208.18,5
