companyName,industry,invoiceCategory,revenue,invoiceAmount,vendorHistoryMonths,lineItems,daysSinceReceived,previousInvoices,amountDeviation,hasPurchaseOrder,paymentStatus,duplicateCheck
Apex Tech 47,retail,equipment,376898.52,56364.76,54,20,38,112,-12.33,1,approved,False
Prime Corp 48,retail,supplies,55726.74,4889.9,119,6,61,35,-10.8,1,pending,False
Delta Tech 49,healthcare,supplies,206114.21,5203.16,48,13,67,1,-16.93,1,pending,True
Gamma Solutions 50,technology,equipment,51200.38,8259.27,14,24,2,143,-22.23,1,approved,True
Vertex Inc 51,technology,supplies,73675.83,15461.45,34,16,83,123,4.61,1,approved,False
Prime Holdings 52,technology,supplies,20804.17,2571.9,114,24,30,142,3.04,1,approved,False
Flux Solutions 53,healthcare,consulting,41870.71,2423.58,91,15,71,75,19.24,1,pending,False
Alpha LLC 54,healthcare,maintenance,70857.62,6112.1,97,6,42,103,15.62,1,approved,False
Vertex LLC 55,healthcare,services,212947.95,29237.21,31,17,51,196,35.96,1,approved,False
Delta Holdings 56,healthcare,supplies,71509.55,15191.25,100,15,32,45,-1.11,1,approved,False
Gamma Inc 57,manufacturing,maintenance,181131.09,10777.88,47,8,76,130,-3.91,0,approved,True
Flux Corp 58,manufacturing,equipment,99965.79,16073.95,95,2,10,26,-19.5,0,pending,False
Nexus Inc 59,technology,supplies,220118.45,42543.34,105,16,80,13,10.45,1,pending,False
Beta Solutions 60,technology,equipment,57111.81,13437.89,25,14,18,191,1.78,1,approved,False
Gamma LLC 61,healthcare,services,405217.07,18981.12,112,19,79,25,9.77,0,pending,False
Omega Group 62,manufacturing,services,40606.48,9464.16,76,4,2,131,-17.09,1,approved,False
Apex Inc 63,manufacturing,consulting,32429.72,5134.84,87,13,1,102,5.27,1,approved,False
Delta Inc 64,healthcare,equipment,22741.75,4465.15,91,20,8,161,3.08,0,approved,False
Alpha Holdings 65,manufacturing,consulting,386473.95,12509.46,21,22,49,109,2.09,1,approved,False
Apex Corp 66,manufacturing,supplies,115330.6,15732.72,89,23,23,139,-10.25,1,approved,False
Omega Holdings 67,manufacturing,maintenance,45830.42,7479.75,26,6,53,178,17.84,1,approved,False
Delta LLC 68,retail,equipment,162627.59,14729.47,33,5,73,165,30.75,1,rejected,False
Zen Holdings 69,technology,consulting,103792.99,12380.38,14,14,2,144,-16.66,0,pending,False
Peak LLC 70,retail,services,288630.32,42569.67,22,12,47,32,10.81,1,approved,True
Apex Solutions 71,technology,services,17356.7,2552.93,117,6,66,33,-43.17,1,pending,False
Nexus Corp 72,retail,consulting,48422.12,1434.66,40,3,38,99,10.03,0,approved,False
Flux Tech 73,services,maintenance,41356.42,5007.47,47,4,83,131,-28.05,0,pending,False
Vertex Inc 74,technology,maintenance,12345.59,854.05,58,9,59,133,-7.87,1,approved,False
Prime Corp 75,technology,supplies,139841.06,32280.89,85,18,3,157,-19.7,1,approved,False
Beta Group 76,retail,services,48227.41,11797.07,69,2,48,20,-3.23,1,approved,False
Gamma Inc 77,retail,maintenance,108196.57,9620.71,64,3,34,34,12.58,1,approved,False
Omega Group 78,healthcare,consulting,395464.99,23843.63,100,7,11,29,-27.86,1,approved,False
Gamma Solutions 79,manufacturing,supplies,45134.63,3181.36,60,21,85,108,-5.39,1,approved,False
Peak Solutions 80,healthcare,consulting,42748.0,5552.24,92,24,20,126,-7.7,0,rejected,False
Nexus Holdings 81,healthcare,maintenance,65836.61,14558.86,109,11,7,23,23.72,0,pending,False
Nova Tech 82,retail,supplies,131899.81,17807.57,81,2,20,173,6.48,1,approved,False
Prime Group 83,services,consulting,38048.98,1245.73,5,1,74,60,-17.66,1,pending,False
Nova Corp 84,technology,consulting,36142.72,1054.42,32,21,53,132,-7.07,0,approved,False
Vertex Solutions 85,technology,equipment,139490.45,10085.15,74,11,73,150,23.34,0,approved,False
Peak Inc 86,technology,consulting,81057.29,17333.08,57,2,41,7,10.72,0,pending,False
Nexus Inc 87,healthcare,supplies,11663.47,1900.45,34,21,10,172,-13.77,1,approved,False
Delta Corp 88,manufacturing,maintenance,22464.39,3357.98,40,13,34,194,-4.01,1,approved,True
Omega LLC 89,technology,maintenance,198985.79,18577.91,10,9,17,191,-3.53,1,approved,False
Flux LLC 90,manufacturing,maintenance,82581.64,19304.93,28,11,50,27,-8.07,0,approved,False
Vertex LLC 91,technology,consulting,32540.58,3129.46,94,6,24,78,-25.65,1,approved,False
Prime Holdings 92,healthcare,services,52243.58,11077.58,2,23,87,46,-10.16,1,approved,False
Flux Solutions 93,retail,supplies,60511.54,13679.11,100,19,33,90,20.84,1,approved,False
Nexus Tech 94,retail,equipment,107859.71,14147.64,41,5,28,194,-5.72,1,approved,False
Beta Corp 95,retail,maintenance,20199.02,4558.65,97,18,88,152,-1.55,1,approved,False
Apex Inc 96,manufacturing,equipment,30553.69,2556.27,31,5,46,154,2.11,0,approved,False
Apex Holdings 97,retail,equipment,74485.86,12769.83,99,11,15,84,33.27,1,approved,False
Delta Corp 98,technology,services,55278.11,2223.93,69,18,43,187,0.13,1,approved,True
Vertex LLC 99,technology,consulting,94607.06,12204.77,102,1,22,184,16.41,0,pending,False
Flux Holdings 100,services,supplies,22390.55,1567.03,8,18,64,161,-8.97,1,pending,False
Peak Solutions 101,services,services,79674.35,2743.63,95,6,51,162,-3.89,1,approved,False
Delta Inc 102,healthcare,maintenance,143381.89,2990.5,33,17,65,130,0.19,1,approved,False
Vertex Holdings 103,retail,services,88384.76,8369.42,43,12,84,19,-11.61,1,pending,False
Omega Holdings 104,services,services,66922.43,10412.6,6,1,65,56,-3.06,1,approved,False
Nova Tech 105,healthcare,services,55453.11,6915.17,114,19,30,153,13.32,1,pending,False
Prime LLC 106,healthcare,equipment,30703.11,2745.07,77,7,18,65,-12.01,1,approved,False
Peak Solutions 107,retail,services,56522.9,14016.32,117,23,47,34,0.0,1,approved,True
Nova Solutions 108,retail,maintenance,164023.45,38724.42,68,21,40,189,10.63,1,approved,False
Delta Inc 109,technology,equipment,54435.79,2661.92,19,5,28,97,-12.37,1,approved,False
Flux Holdings 110,services,supplies,29382.57,3392.94,41,15,73,172,16.43,1,pending,False
Alpha Holdings 111,manufacturing,services,40384.54,6834.47,53,9,81,56,1.09,1,approved,True
Omega Inc 112,technology,equipment,70310.77,13267.84,18,15,34,71,-2.48,1,approved,True
Nova Group 113,retail,services,44408.62,4630.29,111,14,61,68,-30.12,0,rejected,False
Nexus Group 114,manufacturing,maintenance,88277.68,16917.96,114,8,88,74,-5.6,1,approved,False
Omega Solutions 115,technology,supplies,90969.09,4416.96,68,16,1,87,5.57,1,approved,True
Prime Corp 116,services,equipment,121928.07,11743.73,70,7,32,59,26.18,1,approved,False
Core Group 117,healthcare,services,186996.95,34553.23,84,22,66,162,8.52,1,approved,False
Core Inc 118,healthcare,services,132811.62,21768.76,81,23,44,65,16.89,1,approved,False
Apex Holdings 119,retail,supplies,28356.42,6027.39,8,4,71,88,-18.14,1,rejected,False
Peak Holdings 120,manufacturing,services,29061.58,894.43,64,18,42,172,-1.9,1,approved,False
Vertex Group 121,manufacturing,consulting,56352.55,3387.36,93,23,5,87,18.31,1,approved,False
Apex Group 122,manufacturing,maintenance,41733.51,1300.16,96,4,39,2,-13.32,1,approved,False
Omega LLC 123,technology,maintenance,24084.86,1545.92,71,18,36,0,14.48,1,approved,False
Peak LLC 124,retail,supplies,42051.34,882.45,107,23,76,87,11.0,1,pending,False
Zen Solutions 125,technology,consulting,40961.57,5569.48,70,6,13,129,4.12,1,approved,False
Vertex Corp 126,manufacturing,equipment,34979.65,4950.05,46,14,13,188,-4.93,0,approved,False
Nova Solutions 127,retail,services,46507.48,7967.43,53,20,12,26,-14.79,1,approved,False
Apex Holdings 128,technology,services,153700.42,16681.09,83,9,51,108,26.63,1,approved,False
Zen Tech 129,technology,equipment,70220.14,1456.21,106,6,89,57,9.48,1,approved,False
Delta Inc 130,manufacturing,equipment,432547.43,75693.62,28,10,55,90,5.11,1,approved,False
Apex Group 131,technology,services,68624.61,2229.4,35,9,73,88,-6.19,1,approved,False
Nexus Corp 132,services,maintenance,47474.47,10407.32,78,18,76,62,0.57,1,approved,False
Delta Tech 133,manufacturing,consulting,60072.43,1514.45,91,9,54,3,2.47,1,approved,False
Core Holdings 134,retail,equipment,73511.24,10439.28,48,10,54,14,6.0,0,approved,False
Delta Holdings 135,manufacturing,maintenance,84812.92,19153.4,77,23,21,104,11.02,1,approved,False
Nova Solutions 136,technology,maintenance,315328.13,47826.64,1,14,86,44,-11.74,1,pending,False
Beta Inc 137,services,maintenance,30447.03,4869.57,35,23,70,65,-22.0,0,rejected,False
Peak Holdings 138,manufacturing,supplies,119042.62,21043.22,114,18,78,18,1.26,0,pending,False
Flux Solutions 139,healthcare,maintenance,70699.97,3404.49,69,22,88,9,-26.21,1,approved,False
Alpha Corp 140,technology,equipment,17036.64,2985.39,104,5,31,25,-4.85,1,approved,False
Omega Tech 141,manufacturing,consulting,110919.39,24677.53,26,23,12,75,-7.64,0,pending,False
Apex Tech 142,manufacturing,maintenance,165065.7,40287.72,35,23,77,32,7.38,1,approved,False
Alpha Tech 143,services,services,30159.61,3676.52,117,1,42,46,29.74,1,approved,False
Alpha Solutions 144,manufacturing,equipment,59447.74,5899.36,119,9,86,60,-29.17,1,pending,False
Nexus LLC 145,manufacturing,services,15058.78,2910.28,105,10,62,58,34.11,1,pending,False
Omega Holdings 146,retail,supplies,21871.83,3168.38,38,11,23,2,-3.5,1,approved,False
Zen Corp 147,retail,equipment,138472.03,10964.23,96,19,31,23,5.22,0,pending,False
Delta Solutions 148,manufacturing,maintenance,41227.75,2457.02,55,17,54,190,-21.22,1,approved,False
Flux Inc 149,retail,maintenance,24660.49,1458.74,101,6,35,133,14.95,0,rejected,False
Nexus Tech 150,technology,supplies,71938.6,9036.26,102,15,25,24,0.62,1,approved,True
Nexus Inc 151,services,supplies,39421.63,2330.95,52,24,18,56,-0.92,1,approved,False
Peak Inc 152,services,equipment,41082.71,1007.98,37,11,58,76,-29.06,1,approved,False
Gamma Corp 153,technology,maintenance,108170.16,3459.33,117,23,3,181,1.11,0,approved,True
Apex Holdings 154,manufacturing,maintenance,23638.06,5528.31,54,16,8,175,12.69,1,pending,False
Gamma Inc 155,technology,supplies,29019.05,1067.35,52,23,3,154,-3.54,1,approved,False
Delta Inc 156,healthcare,services,67728.61,2494.55,80,22,66,21,17.61,0,rejected,False
Flux Inc 157,retail,consulting,130030.96,16094.37,112,1,2,98,16.99,1,approved,False
Delta LLC 158,healthcare,supplies,161220.5,12312.9,16,20,37,96,-9.62,1,approved,False
Gamma Tech 159,healthcare,services,35170.07,8490.74,118,5,10,127,23.93,0,pending,False
Gamma Group 160,healthcare,services,126741.08,29090.47,51,20,52,168,0.68,1,approved,False
Prime Inc 161,technology,equipment,31974.25,3616.0,4,20,3,64,0.75,1,approved,True
Apex Inc 162,services,supplies,258065.18,31795.76,37,7,2,111,1.48,0,rejected,True
Apex Corp 163,technology,equipment,24172.8,2568.99,56,2,36,52,1.04,1,approved,False
Apex LLC 164,technology,supplies,173300.62,4975.32,81,11,62,42,-39.45,1,pending,False
Omega Corp 165,manufacturing,consulting,35412.18,3093.42,68,8,9,62,-2.78,1,approved,False
Vertex Corp 166,retail,consulting,299717.96,14450.87,17,14,44,147,-20.46,1,approved,False
Gamma Corp 167,services,equipment,96091.54,4184.32,59,2,72,87,24.4,1,pending,False
Vertex LLC 168,services,services,26560.67,3957.49,28,2,56,136,23.79,1,rejected,False
Apex Solutions 169,retail,equipment,39427.12,1684.17,33,11,67,138,12.78,1,pending,False
Alpha Corp 170,services,consulting,111853.47,4885.11,85,19,28,72,-3.58,1,approved,False
Gamma Holdings 171,retail,supplies,138984.2,18139.96,96,8,84,191,-15.12,1,pending,False
Vertex Holdings 172,manufacturing,supplies,56580.94,6887.31,19,8,13,9,-9.86,1,approved,False
Nexus Tech 173,retail,equipment,62051.91,3205.35,72,4,54,179,29.14,1,approved,False
Delta Inc 174,services,supplies,109829.28,2308.97,51,7,39,1,-10.38,1,approved,False
Gamma Solutions 175,technology,equipment,66532.03,4283.61,41,8,2,76,-35.33,1,approved,False
Peak Tech 176,technology,supplies,21273.05,1579.63,85,7,84,165,15.45,1,approved,False
Prime Tech 177,retail,supplies,31245.19,6375.8,30,9,63,136,22.51,1,pending,False
Nexus Solutions 178,services,consulting,72265.05,16660.77,92,7,20,64,24.89,1,approved,False
Flux Corp 179,services,equipment,158321.96,17948.52,48,17,4,177,15.58,0,pending,False
Zen Tech 180,healthcare,equipment,218116.79,24681.26,12,9,60,27,18.02,1,rejected,False
Omega Solutions 181,services,consulting,111705.76,20539.42,95,19,49,134,0.79,1,approved,False
Omega Inc 182,services,supplies,75344.98,12371.05,102,15,4,103,-31.14,1,approved,False
Zen Inc 183,manufacturing,services,108994.33,6796.04,68,16,88,41,0.42,1,pending,True
Apex Tech 184,retail,maintenance,35122.57,1572.38,87,15,64,184,9.32,1,approved,False
Gamma Inc 185,healthcare,services,52966.52,6390.45,18,23,41,153,-2.03,1,approved,False
Vertex Solutions 186,healthcare,equipment,30967.56,4642.36,41,7,21,1,-2.71,1,approved,False
Apex LLC 187,retail,supplies,22048.63,1144.38,42,24,24,17,-14.46,1,approved,False
Vertex Solutions 188,technology,supplies,78185.48,6837.55,91,5,40,11,-15.03,1,approved,False
Nexus Corp 189,healthcare,services,69453.35,6276.28,42,4,5,83,27.57,1,approved,True
Prime Solutions 190,retail,maintenance,103789.7,8313.41,87,20,33,83,28.12,1,approved,False
Alpha Group 191,services,equipment,92678.28,11675.16,37,22,19,144,-0.04,0,approved,False
Alpha Tech 192,technology,supplies,72701.36,12374.11,72,3,10,135,4.22,0,approved,False
Peak Inc 193,technology,consulting,93460.42,12819.0,25,15,11,3,-14.71,1,approved,False
Prime Corp 194,services,services,57864.16,3838.42,67,13,31,95,9.64,1,approved,False
Flux Inc 195,technology,equipment,83309.1,3638.61,10,6,34,156,26.39,1,approved,False
Core Corp 196,technology,equipment,33492.76,7001.0,88,13,31,179,-22.94,1,approved,False
Gamma Tech 197,manufacturing,equipment,80480.06,10481.73,4,17,62,58,6.96,1,pending,True
Nova Corp 198,services,services,102204.82,3504.81,119,14,46,8,8.09,1,approved,False
Peak Inc 199,technology,maintenance,35040.33,2781.08,100,13,17,30,7.91,1,approved,True
Core Solutions 200,retail,supplies,62409.06,12789.35,69,22,87,68,24.64,1,approved,False
Peak Inc 201,healthcare,consulting,36356.13,7012.99,109,6,65,88,30.54,1,approved,False
Delta Inc 202,services,consulting,39292.72,8700.9,97,15,42,70,-3.5,1,approved,False
Core Holdings 203,manufacturing,supplies,24344.39,3858.1,17,8,4,18,10.1,1,approved,False
Prime LLC 204,technology,services,164821.76,19328.38,89,24,82,68,1.26,1,approved,False
Alpha Solutions 205,technology,supplies,140441.76,16589.83,45,7,67,57,-9.48,0,pending,False
Peak Holdings 206,technology,maintenance,92037.1,5947.44,102,21,41,97,4.06,0,approved,False
Beta LLC 207,technology,maintenance,290034.96,49214.22,103,16,14,15,10.07,1,approved,False
Omega Holdings 208,healthcare,maintenance,51462.23,7954.3,114,6,9,158,3.25,1,approved,True
Flux Tech 209,technology,supplies,500000.0,27809.41,54,19,26,83,-13.22,1,approved,False
Prime LLC 210,manufacturing,consulting,49909.99,11164.99,23,6,20,63,-6.95,0,approved,False
Nova Solutions 211,healthcare,services,73434.91,7692.14,15,7,18,181,-6.84,1,approved,False
Omega LLC 212,manufacturing,consulting,43554.91,1369.36,20,9,36,148,-12.64,0,pending,False
Flux Group 213,technology,equipment,80648.9,7694.92,119,17,4,27,4.7,1,approved,False
Apex Solutions 214,services,consulting,116831.96,25710.86,70,10,29,29,6.27,1,approved,False
Omega Corp 215,healthcare,consulting,54658.88,12620.74,42,14,78,0,14.69,1,approved,False
Flux Group 216,healthcare,maintenance,248047.58,32938.64,54,14,77,112,-12.86,1,pending,True
Omega Corp 217,technology,equipment,72498.38,17396.58,21,5,0,70,-8.66,0,approved,True
Nexus Solutions 218,technology,supplies,74338.8,16451.59,68,6,61,75,23.32,0,rejected,False
Delta Holdings 219,services,equipment,28934.84,6070.62,51,8,89,101,-2.47,0,pending,False
Apex LLC 220,retail,services,83683.68,18220.73,95,6,52,107,0.45,1,approved,False
Omega Corp 221,retail,services,53786.52,5799.87,3,23,35,0,-2.63,1,approved,False
Vertex Tech 222,manufacturing,equipment,36805.71,7139.86,111,10,44,21,17.0,1,approved,False
Nexus LLC 223,healthcare,maintenance,32170.99,4915.34,8,10,19,157,17.58,1,approved,False
Vertex Inc 224,services,equipment,500000.0,92763.66,50,17,35,190,16.7,1,approved,False
Flux Corp 225,retail,consulting,48495.11,2952.91,41,19,84,167,0.4,1,approved,False
Omega Holdings 226,services,services,18665.12,3513.16,86,17,55,181,-13.09,0,approved,True
Vertex Inc 227,technology,equipment,34249.35,8228.28,79,14,38,92,28.88,1,approved,False
Apex Solutions 228,manufacturing,consulting,57454.33,5148.63,24,24,11,165,12.84,1,approved,False
Apex Holdings 229,manufacturing,supplies,92719.46,22884.75,59,22,81,176,-6.85,1,approved,False
Nova Corp 230,technology,services,93324.43,9988.19,64,5,14,178,21.36,1,pending,False
Delta Group 231,technology,services,102877.23,6783.35,56,4,64,29,-8.03,1,approved,False
Alpha Inc 232,retail,maintenance,35743.07,1637.96,3,10,27,29,21.16,1,approved,False
Vertex Corp 233,services,consulting,78617.72,15766.09,22,21,25,80,22.17,1,approved,False
Delta Holdings 234,manufacturing,supplies,29707.43,4385.11,60,24,15,100,-13.82,0,pending,False
Prime Inc 235,services,supplies,36471.47,3305.78,31,17,33,191,8.73,1,rejected,False
Alpha Tech 236,services,services,28733.9,4595.8,65,17,60,63,11.73,1,approved,False
Prime Holdings 237,manufacturing,maintenance,23139.33,2230.24,20,6,37,166,39.22,0,pending,False
Alpha Inc 238,healthcare,services,140276.06,17271.11,88,15,2,177,-11.13,0,rejected,False
Beta Tech 239,technology,consulting,103869.37,22686.4,23,5,23,193,21.49,0,pending,False
Zen Group 240,technology,supplies,130787.91,22715.02,78,13,14,37,0.26,0,approved,False
Peak Inc 241,services,supplies,61787.14,12070.27,100,5,36,48,-18.62,0,pending,False
Vertex Group 242,healthcare,supplies,111462.8,17187.96,43,2,81,43,-1.8,0,pending,False
Prime Tech 243,technology,maintenance,14632.03,3629.06,17,24,86,147,0.04,1,approved,False
Beta LLC 244,manufacturing,services,119428.13,9019.73,1,22,89,137,-15.88,1,pending,False
Beta LLC 245,manufacturing,supplies,68988.55,5541.64,43,17,10,81,4.68,1,approved,False
Delta Group 246,services,supplies,98882.51,4082.72,14,16,43,17,14.37,1,approved,False
Peak Inc 247,manufacturing,supplies,81147.08,11963.07,105,6,4,104,3.57,1,approved,True
Alpha Inc 248,retail,services,27183.24,4378.48,116,14,44,146,-8.13,1,approved,False
Zen Holdings 249,retail,maintenance,18062.05,3377.08,117,18,51,94,-2.23,1,approved,False
Vertex Tech 250,retail,supplies,33872.43,3290.79,110,13,69,53,-0.07,1,approved,False
Gamma Solutions 251,healthcare,equipment,94083.11,2146.89,70,7,30,118,3.26,1,approved,False
Beta Corp 252,services,supplies,103992.4,17201.67,39,10,3,132,16.65,1,approved,False
Flux LLC 253,manufacturing,maintenance,20043.22,5004.79,54,21,40,118,4.08,1,approved,False
Vertex Corp 254,technology,supplies,27313.07,2396.62,31,7,38,174,-21.04,1,approved,False
Prime LLC 255,technology,supplies,33570.78,2091.63,100,24,56,62,-8.43,0,approved,False
Vertex Holdings 256,healthcare,supplies,44988.22,3815.29,52,19,8,121,2.49,1,approved,False
Zen LLC 257,services,supplies,20137.91,2373.16,46,22,55,171,16.86,0,pending,False
Nexus Solutions 258,technology,services,19194.11,1491.57,83,13,36,42,19.47,0,pending,False
Zen Group 259,technology,consulting,31024.48,3096.27,45,6,66,56,26.62,0,rejected,False
Nexus Holdings 260,manufacturing,services,64151.52,10699.67,43,1,88,9,1.96,1,rejected,False
Alpha Tech 261,technology,supplies,23284.07,2313.42,28,13,20,74,11.45,1,approved,False
Alpha Holdings 262,services,supplies,54576.42,6063.09,9,10,67,8,-21.82,1,pending,False
Delta Tech 263,retail,supplies,139642.69,4078.57,5,3,11,149,6.45,1,approved,False
Zen Solutions 264,technology,consulting,21132.69,4884.33,48,23,88,17,-16.13,1,pending,False
Peak Group 265,services,equipment,50758.96,5765.39,119,24,43,138,-0.94,1,approved,False
Nexus LLC 266,technology,maintenance,135917.78,12976.48,32,9,67,115,45.45,1,approved,False
Prime LLC 267,retail,supplies,42846.76,1709.22,77,17,69,197,4.55,1,approved,False
Beta Tech 268,technology,maintenance,37837.81,6275.86,39,10,54,69,-12.96,0,pending,False
Apex Corp 269,technology,services,151872.5,33211.44,37,12,34,68,6.12,1,approved,False
Flux Tech 270,technology,equipment,46865.56,1380.9,20,15,67,48,-7.76,0,pending,False
Peak LLC 271,technology,consulting,144870.57,7737.92,68,10,42,107,-14.41,1,approved,False
Nexus Solutions 272,technology,equipment,84387.31,4529.04,79,20,59,43,31.55,1,approved,False
Delta LLC 273,technology,maintenance,45511.68,7214.66,42,5,55,22,16.0,1,approved,False
Vertex Tech 274,manufacturing,supplies,87882.19,20378.39,63,17,41,189,5.18,1,approved,False
Peak Corp 275,healthcare,services,77370.4,9337.58,57,24,10,135,-5.88,1,approved,False
Delta LLC 276,retail,consulting,135497.2,13424.45,33,21,26,23,-4.66,1,approved,False
Prime Tech 277,retail,services,38612.2,7573.53,83,2,84,123,23.14,1,pending,False
Flux Inc 278,manufacturing,consulting,61880.78,11806.29,66,3,46,60,4.6,1,approved,False
Beta Inc 279,services,consulting,56998.91,4374.89,8,16,57,36,-46.24,1,pending,False
Delta Tech 280,services,maintenance,105168.44,5993.56,59,23,23,94,36.31,1,approved,False
Alpha Solutions 281,technology,equipment,26366.69,2697.21,47,21,63,157,2.75,0,approved,False
Peak Corp 282,technology,maintenance,135074.48,26797.26,95,22,43,0,5.15,1,approved,False
Peak Holdings 283,technology,services,86947.78,15638.83,37,4,19,71,16.3,1,approved,False
Alpha Inc 284,technology,equipment,20878.18,3614.98,114,13,13,184,6.98,1,pending,False
Omega Inc 285,manufacturing,services,157410.18,33177.12,74,18,35,78,11.2,1,approved,False
Core Holdings 286,retail,consulting,357637.24,29948.53,16,15,50,19,-6.36,1,approved,False
Gamma Corp 287,technology,consulting,133448.0,13094.89,49,19,25,85,-18.45,1,approved,False
Peak Group 288,retail,maintenance,187510.07,5576.19,106,6,22,136,4.2,1,approved,False
Delta Inc 289,manufacturing,consulting,64106.25,14091.29,31,11,24,199,21.47,1,approved,False
Alpha Solutions 290,technology,supplies,15847.96,2439.93,84,11,26,125,-9.72,1,approved,False
Flux Group 291,services,services,13693.87,1212.84,94,23,66,10,-10.92,0,pending,False
Omega Inc 292,technology,maintenance,73428.37,2640.91,83,5,44,161,18.32,0,rejected,False
Omega Tech 293,services,equipment,37287.63,6949.82,11,8,42,156,-6.86,1,rejected,False
Beta Solutions 294,technology,services,28806.0,5536.79,45,1,14,130,-6.16,0,approved,False
Omega Inc 295,services,maintenance,56942.81,9863.7,42,4,49,179,-5.6,1,approved,True
Flux Tech 296,services,maintenance,97975.06,6551.56,41,24,86,153,-0.97,1,approved,True
Vertex Inc 297,services,equipment,18728.35,4308.27,105,21,67,46,-23.6,1,approved,False
