companyName,industry,totalTransactions,transactionVolume,dataQuality,numSources,daysSinceLastRecon,automationLevel,numAccounts,prevErrorRate,matchedTransactions,unmatchedTransactions,reconciliationStatus
Company 156,healthcare,109,67728.61,44.39,5,81,73.34,16,2.92,88,21,partial
Company 157,retail,359,130030.96,67.07,7,2,90.37,29,4.33,333,26,partial
Company 158,healthcare,164,161220.5,54.71,2,72,42.37,11,4.61,136,28,partial
Company 159,healthcare,115,35170.07,97.76,7,17,21.46,14,2.78,100,15,partial
Company 160,healthcare,34,126741.08,94.66,4,74,19.28,48,0.55,28,6,partial
Company 161,technology,213,31974.25,64.28,2,72,10.54,19,1.73,161,52,failed
Company 162,services,208,258065.18,66.92,3,23,73.24,39,7.28,183,25,partial
Company 163,technology,290,24172.8,62.51,4,6,93.42,13,2.17,262,28,failed
Company 164,technology,116,173300.62,42.27,6,38,94.39,46,0.1,94,22,partial
Company 165,manufacturing,362,35412.18,57.57,5,27,76.66,35,2.31,318,44,successful
Company 166,retail,346,299717.96,47.36,2,50,23.79,43,0.1,273,73,failed
Company 167,services,241,96091.54,46.14,4,8,93.11,27,2.61,220,21,partial
Company 168,services,107,26560.67,73.65,3,4,37.86,45,12.7,99,8,partial
Company 169,retail,263,39427.12,45.93,3,39,38.36,20,2.13,215,48,successful
Company 170,services,343,111853.47,46.18,6,69,68.42,25,2.8,273,70,failed
Company 171,retail,198,138984.2,68.83,6,29,14.17,5,4.14,168,30,partial
Company 172,manufacturing,146,56580.94,66.54,2,29,80.19,11,0.97,131,15,partial
Company 173,retail,263,62051.91,48.26,5,15,94.77,39,0.32,230,33,partial
Company 174,services,190,109829.28,40.27,4,26,75.88,18,3.09,154,36,partial
Company 175,technology,212,66532.03,51.58,4,27,76.44,7,1.24,180,32,partial
Company 176,technology,187,21273.05,54.15,6,24,43.18,16,2.65,155,32,partial
Company 177,retail,165,31245.19,88.01,3,31,15.6,19,1.24,148,17,partial
Company 178,services,364,72265.05,94.93,6,26,77.38,36,7.29,348,16,partial
Company 179,services,240,158321.96,64.36,4,61,60.76,7,2.48,218,22,partial
Company 180,healthcare,243,218116.79,64.3,2,31,87.29,4,2.82,222,21,partial
Company 181,services,333,111705.76,82.75,6,68,19.86,37,0.39,286,47,partial
Company 182,services,193,75344.98,77.62,7,54,35.94,9,1.71,164,29,partial
Company 183,manufacturing,68,108994.33,51.05,5,58,40.66,22,3.36,53,15,failed
Company 184,retail,429,35122.57,46.46,6,52,68.08,35,2.01,348,81,failed
Company 185,healthcare,46,52966.52,66.26,2,83,76.96,27,0.94,39,7,partial
Company 186,healthcare,294,30967.56,73.89,4,23,91.69,8,3.9,248,46,partial
Company 187,retail,147,22048.63,48.32,4,88,35.11,36,8.8,109,38,failed
Company 188,technology,122,78185.48,57.6,6,19,51.96,5,0.59,110,12,partial
Company 189,healthcare,40,69453.35,58.36,4,13,12.46,13,4.08,33,7,partial
Company 190,retail,452,103789.7,55.68,6,74,31.5,8,0.1,357,95,failed
Company 191,services,226,92678.28,67.65,3,80,41.79,27,0.2,191,35,partial
Company 192,technology,184,72701.36,79.18,5,9,60.47,35,4.48,156,28,partial
Company 193,technology,375,93460.42,70.56,3,54,50.02,33,0.13,326,49,partial
Company 194,services,38,57864.16,52.09,5,46,40.98,9,0.15,33,5,partial
Company 195,technology,290,83309.1,46.18,2,20,63.05,19,1.2,243,47,partial
Company 196,technology,257,33492.76,89.31,6,47,80.43,9,4.06,225,32,successful
Company 197,manufacturing,285,80480.06,68.76,2,62,30.54,19,0.1,234,51,partial
Company 198,services,79,102204.82,43.73,7,52,39.14,13,4.35,66,13,partial
Company 199,technology,477,35040.33,55.49,7,47,69.92,37,9.63,405,72,partial
Company 200,retail,134,62409.06,88.24,5,79,76.12,38,1.54,116,18,partial
Company 201,healthcare,345,36356.13,85.1,7,21,80.16,41,3.64,343,2,successful
Company 202,services,378,39292.72,92.55,6,56,27.79,12,8.92,314,64,partial
Company 203,manufacturing,185,24344.39,76.13,2,29,55.84,3,0.23,164,21,partial
Company 204,technology,82,164821.76,65.37,6,87,86.5,4,4.28,68,14,partial
Company 205,technology,162,140441.76,65.6,4,23,43.32,42,0.46,134,28,partial
Company 206,technology,407,92037.1,51.64,7,78,46.54,45,2.92,321,86,failed
Company 207,technology,455,290034.96,79.05,7,57,93.71,12,2.03,426,29,partial
Company 208,healthcare,469,51462.23,75.1,7,20,19.61,44,0.52,421,48,partial
Company 209,technology,128,500000.0,49.29,4,68,69.98,27,0.52,105,23,partial
Company 210,manufacturing,311,49909.99,93.14,3,22,82.27,11,6.02,285,26,partial
Company 211,healthcare,92,73434.91,62.11,2,24,22.82,17,0.87,78,14,partial
Company 212,manufacturing,360,43554.91,42.98,2,31,70.73,15,3.51,306,54,successful
Company 213,technology,219,80648.9,59.67,7,61,49.93,38,0.31,184,35,partial
Company 214,services,362,116831.96,92.19,5,35,82.5,11,5.05,343,19,partial
Company 215,healthcare,348,54658.88,95.02,4,51,87.13,11,1.46,328,20,partial
Company 216,healthcare,496,248047.58,69.42,4,50,84.16,36,3.76,443,53,partial
Company 217,technology,254,72498.38,97.38,3,18,15.47,17,1.46,227,27,partial
Company 218,technology,183,74338.8,92.51,5,21,74.33,14,0.4,179,4,successful
Company 219,services,272,28934.84,89.51,4,28,88.33,40,7.19,271,1,partial
Company 220,retail,98,83683.68,91.58,6,20,62.81,46,0.1,92,6,partial
Company 221,retail,73,53786.52,62.91,2,82,61.07,29,6.78,61,12,partial
Company 222,manufacturing,269,36805.71,85.39,7,34,13.83,41,2.51,234,35,partial
Company 223,healthcare,416,32170.99,74.64,2,37,82.76,42,1.95,370,46,partial
Company 224,services,275,500000.0,83.18,4,60,13.94,30,6.45,237,38,partial
Company 225,retail,395,48495.11,50.67,4,71,36.65,41,3.14,319,76,partial
Company 226,services,105,18665.12,83.88,6,62,88.7,3,12.64,93,12,partial
Company 227,technology,235,34249.35,97.46,5,50,90.73,4,6.64,229,6,partial
Company 228,manufacturing,314,57454.33,58.16,3,87,94.31,44,4.1,269,45,partial
Company 229,manufacturing,186,92719.46,99.17,4,81,50.49,9,2.57,162,24,partial
Company 230,technology,26,93324.43,62.7,5,19,25.08,37,6.64,22,4,partial
Company 231,technology,55,102877.23,51.98,4,15,51.48,22,1.38,47,8,partial
Company 232,retail,465,35743.07,46.74,2,35,18.7,40,0.25,382,83,partial
Company 233,services,310,78617.72,87.1,3,75,84.17,34,0.31,292,18,partial
Company 234,manufacturing,146,29707.43,73.29,5,86,57.65,6,5.74,123,23,partial
Company 235,services,144,36471.47,58.43,3,63,44.38,18,1.91,117,27,partial
Company 236,services,38,28733.9,76.51,5,62,16.76,36,3.0,32,6,partial
Company 237,manufacturing,473,23139.33,59.93,2,21,44.45,46,0.58,408,65,partial
Company 238,healthcare,71,140276.06,66.9,6,53,83.63,40,1.43,64,7,partial
Company 239,technology,384,103869.37,91.76,3,17,69.79,44,9.46,360,24,partial
Company 240,technology,135,130787.91,80.09,5,49,17.01,47,2.22,114,21,partial
Company 241,services,181,61787.14,85.74,7,18,23.59,45,1.13,165,16,partial
Company 242,healthcare,151,111462.8,75.01,4,7,43.35,30,0.21,131,20,partial
Company 243,technology,415,14632.03,99.48,2,87,18.62,18,1.03,391,24,partial
Company 244,manufacturing,35,119428.13,54.48,2,80,89.39,26,2.81,31,4,partial
Company 245,manufacturing,189,68988.55,55.74,4,61,65.44,40,2.31,152,37,partial
Company 246,services,154,98882.51,45.55,2,56,18.06,22,1.85,120,34,successful
Company 247,manufacturing,151,81147.08,73.24,7,22,76.98,42,6.14,140,11,partial
Company 248,retail,112,27183.24,76.8,7,51,41.31,35,1.9,96,16,partial
Company 249,retail,457,18062.05,83.56,7,67,30.81,12,0.58,372,85,partial
Company 250,retail,201,33872.43,60.13,7,49,58.45,46,1.08,165,36,partial
Company 251,healthcare,220,94083.11,40.74,5,26,11.14,42,4.67,173,47,failed
Company 252,services,204,103992.4,77.93,3,35,49.56,31,0.21,170,34,partial
Company 253,manufacturing,490,20043.22,99.92,4,75,81.72,12,7.15,434,56,partial
Company 254,technology,182,27313.07,57.67,3,23,88.88,13,1.88,165,17,partial
Company 255,technology,184,33570.78,51.04,7,86,39.12,42,3.93,144,40,failed
Company 256,healthcare,177,44988.22,56.91,4,68,64.61,3,15.83,141,36,failed
Company 257,services,176,20137.91,65.52,4,80,29.28,25,2.81,140,36,failed
Company 258,technology,63,19194.11,55.05,6,46,57.62,32,1.64,50,13,failed
Company 259,technology,310,31024.48,60.82,4,20,31.59,13,0.12,266,44,partial
Company 260,manufacturing,32,64151.52,78.29,4,4,58.57,43,1.74,28,4,partial
Company 261,technology,128,23284.07,60.7,3,48,24.6,27,2.21,102,26,failed
Company 262,services,117,54576.42,63.76,2,36,90.0,6,1.24,106,11,partial
Company 263,retail,159,139642.69,42.4,2,11,85.39,18,3.01,135,24,partial
Company 264,technology,383,21132.69,95.08,4,83,38.64,21,0.22,330,53,partial
Company 265,services,307,50758.96,64.41,7,87,76.02,13,5.84,242,65,failed
Company 266,technology,495,135917.78,59.69,3,34,18.12,47,2.67,409,86,partial
Company 267,retail,188,42846.76,45.19,5,60,72.93,19,1.7,156,32,partial
Company 268,technology,465,37837.81,78.05,3,37,34.01,26,1.49,396,69,partial
Company 269,technology,41,151872.5,91.83,3,45,21.53,28,3.59,35,6,partial
Company 270,technology,262,46865.56,42.47,2,56,67.65,13,3.12,214,48,partial
Company 271,technology,403,144870.57,48.72,5,38,49.93,29,0.25,339,64,partial
Company 272,technology,275,84387.31,48.78,5,72,55.06,19,3.68,223,52,partial
Company 273,technology,467,45511.68,76.14,4,17,54.25,3,0.23,442,25,partial
Company 274,manufacturing,170,87882.19,95.27,5,60,15.05,22,1.53,151,19,partial
Company 275,healthcare,35,77370.4,66.27,4,88,14.37,30,1.27,28,7,partial
Company 276,retail,391,135497.2,60.63,3,76,61.1,8,2.15,336,55,partial
Company 277,retail,52,38612.2,85.95,6,5,63.03,39,3.62,48,4,partial
Company 278,manufacturing,387,61880.78,84.55,5,11,14.01,34,2.73,338,49,partial
Company 279,services,372,56998.91,54.81,2,56,42.17,17,0.29,320,52,partial
Company 280,services,425,105168.44,49.65,4,83,62.09,30,4.96,332,93,partial
Company 281,technology,249,26366.69,61.47,4,76,65.82,17,4.89,209,40,partial
Company 282,technology,449,135074.48,86.54,6,81,80.4,33,2.68,422,27,partial
Company 283,technology,101,86947.78,81.7,3,14,45.76,10,0.72,92,9,partial
Company 284,technology,228,20878.18,79.95,7,47,56.6,31,0.64,200,28,partial
Company 285,manufacturing,78,157410.18,89.77,5,65,59.18,5,8.36,65,13,partial
Company 286,retail,388,357637.24,56.63,2,56,36.52,3,0.51,291,97,failed
Company 287,technology,362,133448.0,60.38,4,70,14.58,14,2.74,309,53,partial
Company 288,retail,407,187510.07,42.54,7,19,10.36,11,8.28,318,89,failed
Company 289,manufacturing,386,64106.25,92.12,3,41,81.07,26,1.02,356,30,partial
Company 290,technology,168,15847.96,74.95,6,40,27.02,10,0.51,145,23,partial
Company 291,services,52,13693.87,57.89,6,84,63.57,14,1.02,42,10,partial
Company 292,technology,466,73428.37,44.16,6,19,59.05,7,5.32,382,84,partial
Company 293,services,256,37287.63,83.4,2,30,43.97,44,6.3,219,37,partial
Company 294,technology,65,28806.0,84.92,4,2,80.85,37,1.46,59,6,partial
Company 295,services,464,56942.81,79.97,4,14,69.36,13,2.3,397,67,partial
Company 296,services,497,97975.06,52.23,4,88,11.93,8,7.65,352,145,failed
Company 297,services,233,18728.35,94.79,7,76,76.02,42,0.71,222,11,successful
Company 298,services,389,41810.3,85.19,2,24,53.09,34,1.71,342,47,partial
Company 299,healthcare,37,200365.11,79.47,5,63,39.5,44,3.8,32,5,partial
Company 300,manufacturing,64,25330.62,79.06,7,53,71.79,11,9.14,59,5,partial
Company 301,healthcare,152,120067.45,94.26,7,81,68.32,19,7.66,137,15,partial
Company 302,technology,334,40628.11,95.7,5,27,36.4,8,2.46,301,33,partial
Company 303,manufacturing,84,92654.7,75.74,7,89,93.56,22,1.3,75,9,partial
Company 304,manufacturing,36,144042.26,65.0,4,33,65.14,10,3.62,31,5,partial
Company 305,services,341,108339.53,61.82,5,64,61.49,3,0.44,302,39,partial
Company 306,manufacturing,389,123912.09,89.14,5,36,15.94,26,14.79,353,36,partial
Company 307,retail,374,23830.59,78.68,2,60,33.74,49,0.92,337,37,successful
Company 308,manufacturing,403,145936.63,44.64,2,30,47.99,33,2.39,303,100,failed
Company 309,retail,405,30267.98,48.53,7,76,63.6,38,0.1,326,79,partial
Company 310,technology,309,73690.81,94.01,3,57,53.58,41,1.7,280,29,partial
Company 311,manufacturing,269,73614.47,93.07,4,26,74.86,48,2.13,258,11,successful
Company 312,retail,431,88264.92,97.11,5,86,32.32,9,1.24,356,75,partial
Company 313,technology,187,78398.91,65.67,5,64,69.68,14,2.11,151,36,partial
Company 314,retail,66,30483.84,87.04,5,39,79.41,31,0.39,64,2,successful
Company 315,retail,380,20335.15,89.69,7,13,75.03,41,2.53,352,28,partial
Company 316,retail,152,120316.25,58.94,6,87,75.52,39,5.93,120,32,failed
Company 317,retail,489,69471.21,48.72,7,68,85.52,37,0.9,396,93,partial
Company 318,healthcare,218,150166.73,99.82,5,60,17.16,17,7.57,193,25,partial
Company 319,retail,428,57769.35,41.81,7,75,69.26,20,1.2,336,92,failed
Company 320,services,40,19455.18,75.84,5,55,92.34,6,1.3,37,3,partial
Company 321,services,336,129690.19,79.01,5,21,58.76,17,2.18,293,43,partial
Company 322,manufacturing,235,44520.43,80.91,6,22,28.47,10,1.83,193,42,partial
Company 323,retail,242,78716.08,55.34,7,8,94.89,47,2.43,228,14,partial
Company 324,manufacturing,147,35668.83,83.29,2,6,24.85,7,5.82,131,16,partial
Company 325,services,486,223114.72,52.98,7,65,38.52,20,5.33,384,102,failed
Company 326,healthcare,208,29695.42,89.74,6,76,24.63,44,0.83,176,32,partial
Company 327,services,428,45709.26,53.15,7,15,49.48,47,1.61,380,48,partial
Company 328,manufacturing,224,65248.54,81.8,6,52,45.6,20,6.16,199,25,partial
Company 329,manufacturing,43,24990.58,87.0,7,12,51.76,24,0.17,41,2,successful
Company 330,retail,442,77996.22,51.34,3,37,88.88,27,0.54,377,65,partial
Company 331,healthcare,108,217407.42,54.28,3,71,50.66,41,0.24,89,19,partial
Company 332,technology,149,40442.25,86.75,3,73,53.74,39,1.29,134,15,partial
Company 333,healthcare,433,82134.57,45.16,3,85,85.37,27,1.36,351,82,partial
Company 334,services,448,10000.0,51.45,3,28,79.51,20,0.1,387,61,partial
Company 335,technology,460,58038.2,67.33,4,85,30.38,20,3.34,366,94,failed
Company 336,manufacturing,224,46609.8,95.81,3,70,11.1,33,7.06,194,30,partial
Company 337,technology,383,31107.43,73.71,2,31,63.51,42,1.75,326,57,partial
Company 338,healthcare,177,142224.26,63.26,5,30,81.81,6,0.49,161,16,partial
Company 339,technology,375,46120.14,98.7,6,10,56.99,39,6.72,356,19,failed
